DistrictCode,DistrictName,SchoolCode,SchoolName,term,stateCourseCodeId,courseTitle,letterGrade,count,cs_course
17405,Bellevue School District,3588,Interlake Senior High School,SEM1,795,MS Office/Business Tech 1,C ,1,no
17405,Bellevue School District,3588,Interlake Senior High School,SEM1,795,MS Office/Business Tech 1,D ,2,no
17405,Bellevue School District,3588,Interlake Senior High School,SEM1,795,MS Office/Business Tech 1,F ,2,no
17405,Bellevue School District,3588,Interlake Senior High School,SEM2,795,MS Office/Business Tech 1,A ,9,no
17405,Bellevue School District,3588,Interlake Senior High School,SEM2,795,MS Office/Business Tech 1,B ,9,no
17405,Bellevue School District,3588,Interlake Senior High School,SEM2,795,MS Office/Business Tech 1,C ,3,no
17405,Bellevue School District,3588,Interlake Senior High School,SEM2,795,MS Office/Business Tech 1,D ,4,no
17405,Bellevue School District,3588,Interlake Senior High School,SEM2,795,MS Office/Business Tech 1,F ,4,no
17405,Bellevue School District,2701,Bellevue High School,SEM2,795,Ms Office/Business Tech 2,A ,4,no
17405,Bellevue School District,2701,Bellevue High School,SEM2,795,Ms Office/Business Tech 2,C ,1,no
17405,Bellevue School District,3486,Newport Senior High School,SEM1,795,Ms Office/Business Tech 2,A ,2,no
17405,Bellevue School District,3486,Newport Senior High School,SEM2,795,Ms Office/Business Tech 2,A ,4,no
34111,Olympia School District,1768,Avanti High School,ALLYR,795,ROBOTICS,A ,4,no
8402,Kalama School District,5545,Kalama High School,SEM1,795,TECHNOLOGY,A-,4,no
8402,Kalama School District,5545,Kalama High School,SEM1,795,TECHNOLOGY,A ,10,no
8402,Kalama School District,5545,Kalama High School,SEM1,795,TECHNOLOGY,B-,1,no
8402,Kalama School District,5545,Kalama High School,SEM1,795,TECHNOLOGY,B ,2,no
8402,Kalama School District,5545,Kalama High School,SEM1,795,TECHNOLOGY,B+,1,no
8402,Kalama School District,5545,Kalama High School,SEM1,795,TECHNOLOGY,C-,1,no
8402,Kalama School District,5545,Kalama High School,SEM1,795,TECHNOLOGY,C ,4,no
8402,Kalama School District,5545,Kalama High School,SEM1,795,TECHNOLOGY,D ,7,no
8402,Kalama School District,5545,Kalama High School,SEM1,795,TECHNOLOGY,D+,1,no
8402,Kalama School District,5545,Kalama High School,SEM1,795,TECHNOLOGY,F ,2,no
8402,Kalama School District,5545,Kalama High School,SEM2,795,TECHNOLOGY,A ,6,no
8402,Kalama School District,5545,Kalama High School,SEM2,795,TECHNOLOGY,B-,2,no
8402,Kalama School District,5545,Kalama High School,SEM2,795,TECHNOLOGY,B ,4,no
8402,Kalama School District,5545,Kalama High School,SEM2,795,TECHNOLOGY,B+,2,no
8402,Kalama School District,5545,Kalama High School,SEM2,795,TECHNOLOGY,C-,2,no
8402,Kalama School District,5545,Kalama High School,SEM2,795,TECHNOLOGY,C ,3,no
8402,Kalama School District,5545,Kalama High School,SEM2,795,TECHNOLOGY,D ,6,no
8402,Kalama School District,5545,Kalama High School,SEM2,795,TECHNOLOGY,F ,2,no
8402,Kalama School District,5545,Kalama High School,SEM2,795,TECHNOLOGY,W ,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,839,Program Game Design,B-,2,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,839,Program Game Design,B ,2,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,839,Program Game Design,C-,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,839,Program Game Design,D+,1,no
28137,Orcas Island School District,1892,OASIS K-12,SEM1,796,BUSINES COMPUTER APPLICATION,P ,1,no
28137,Orcas Island School District,1892,OASIS K-12,SEM2,796,BUSINESS COMPUTER APPLICATION,P ,1,no
28137,Orcas Island School District,1892,OASIS K-12,SEM1,796,BUSINESS COMPUTER APPLICATIONS,P ,1,no
28137,Orcas Island School District,1892,OASIS K-12,SEM2,796,BUSINESS COMPUTER APPLICATIONS,P ,1,no
14005,Aberdeen School District,3857,Harbor High School,SEM2,796,CAREER CHOICE(1),B ,1,no
14005,Aberdeen School District,3857,Harbor High School,SEM1,796,CARER CHOICE(1),B ,1,no
14005,Aberdeen School District,3857,Harbor High School,SEM1,796,CARER CHOICE(1),C ,1,no
14005,Aberdeen School District,3857,Harbor High School,SEM2,796,CARER CHOICE(1),A ,4,no
14005,Aberdeen School District,3857,Harbor High School,SEM2,796,CARER CHOICE(1),B+,1,no
14005,Aberdeen School District,3857,Harbor High School,SEM2,796,CARER CHOICE(2),A ,1,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,A-,6,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,A ,11,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,B-,2,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,B ,4,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,B+,3,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,C-,2,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,C ,3,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,C+,3,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,D ,1,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,D+,1,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,F ,1,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,P ,1,no
31016,Arlington School District,2523,Arlington High School,SEM1,796,COMP & CAREER,W ,2,no
31016,Arlington School District,2523,Arlington High School,SEM2,796,COMP & CAREER,A-,3,no
31016,Arlington School District,2523,Arlington High School,SEM2,796,COMP & CAREER,A ,4,no
31016,Arlington School District,2523,Arlington High School,SEM2,796,COMP & CAREER,B-,1,no
31016,Arlington School District,2523,Arlington High School,SEM2,796,COMP & CAREER,B ,1,no
31016,Arlington School District,2523,Arlington High School,SEM2,796,COMP & CAREER,C-,1,no
31016,Arlington School District,2523,Arlington High School,SEM2,796,COMP & CAREER,C ,3,no
31016,Arlington School District,2523,Arlington High School,SEM2,796,COMP & CAREER,D ,7,no
31016,Arlington School District,2523,Arlington High School,SEM2,796,COMP & CAREER,W ,3,no
39119,Selah School District,4272,Selah Academy,Q4,796,COMP LITERACY A,A-,1,no
39119,Selah School District,4272,Selah Academy,Q4,796,COMP LITERACY B,A-,1,no
39119,Selah School District,4272,Selah Academy,Q4,796,COMP LITERACY B,A ,1,no
27003,Puyallup School District,1640,Puyallup Online Academy/POA,SEM1,796,Computer Applications A,C-,1,no
27003,Puyallup School District,1640,Puyallup Online Academy/POA,SEM1,796,Computer Applications A,W ,1,no
28137,Orcas Island School District,1892,OASIS K-12,SEM2,796,COMPUTER APPS,NC,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,796,Computer Support I,A ,2,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,796,Computer Support I,B-,3,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,796,Computer Support I,B ,2,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,796,Computer Support I,B+,3,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,796,Computer Support I,C-,2,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,796,Computer Support I,C+,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,796,Computer Support I,D ,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,796,Computer Support I,D+,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM1,796,Computer Support I,W ,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,796,Computer Support I,A ,4,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,796,Computer Support I,B ,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,796,Computer Support I,B+,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,796,Computer Support I,C-,2,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,796,Computer Support I,C ,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,796,Computer Support I,C+,3,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,796,Computer Support I,F ,1,no
27003,Puyallup School District,4540,Emerald Ridge High School,SEM2,796,Computer Support I,W ,2,no
17417,Northshore School District,5331,Northshore Online School,SEM1,796,COMPUTER TECHNOLOGY,A ,3,no
17417,Northshore School District,5331,Northshore Online School,SEM1,796,COMPUTER TECHNOLOGY,C ,1,no
17417,Northshore School District,5331,Northshore Online School,SEM2,796,COMPUTER TECHNOLOGY,A ,3,no
17417,Northshore School District,5331,Northshore Online School,SEM2,796,COMPUTER TECHNOLOGY,B ,1,no
17417,Northshore School District,5331,Northshore Online School,SEM2,796,COMPUTER TECHNOLOGY,B+,1,no
6117,Camas School District,5104,Hayes Freedom High School,Q4,796,DESIGN ENGINEER,A-,2,no
6117,Camas School District,5104,Hayes Freedom High School,Q4,796,DESIGN ENGINEER,A ,5,no
6117,Camas School District,5104,Hayes Freedom High School,Q4,796,DESIGN ENGINEER,B ,2,no
6117,Camas School District,5104,Hayes Freedom High School,Q4,796,DESIGN ENGINEER,C-,2,no
6117,Camas School District,5104,Hayes Freedom High School,Q4,796,DESIGN ENGINEER,C ,1,no
6117,Camas School District,5104,Hayes Freedom High School,Q4,796,DESIGN ENGINEER,F ,1,no
14005,Aberdeen School District,3857,Harbor High School,SEM1,796,DIGITAL COMM,A ,4,no
14005,Aberdeen School District,3857,Harbor High School,SEM1,796,DIGITAL COMM,B-,1,no
14005,Aberdeen School District,3857,Harbor High School,SEM1,796,DIGITAL COMM,B ,1,no
14005,Aberdeen School District,3857,Harbor High School,SEM1,796,DIGITAL COMM,C ,1,no
14005,Aberdeen School District,3857,Harbor High School,SEM2,796,DIGITAL COMM,A ,9,no
14005,Aberdeen School District,3857,Harbor High School,SEM2,796,DIGITAL COMM,B ,1,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,A-,2,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,A ,7,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,B-,1,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,B ,1,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,B+,4,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,C-,1,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,C ,1,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,C+,6,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,D+,2,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,S ,2,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,U ,2,no
31330,Darrington School District,3188,Darrington High School,SEM1,796,DIGITAL COMMUNI,W ,1,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,A-,2,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,A ,3,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,B-,2,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,B ,1,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,B+,4,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,C-,1,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,C ,3,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,C+,1,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,D ,2,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,D+,2,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,F ,2,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,NC,3,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,S ,6,no
31330,Darrington School District,3188,Darrington High School,SEM2,796,DIGITAL COMMUNI,W ,2,no
27083,University Place School District,3600,Curtis Senior High,Term2of8,796,DIGITAL LIT Q1,B-,1,no
27083,University Place School District,3600,Curtis Senior High,Term5of8,796,DIGITAL LIT Q1,B+,1,no
27083,University Place School District,3600,Curtis Senior High,Term1of8,796,DIGITAL LIT Q2,B ,2,no
27083,University Place School District,3600,Curtis Senior High,Term6of8,796,DIGITAL LIT S1,A ,1,no
22204,Harrington School District,3113,Harrington High School,SEM1,796,Digital MM,A-,1,no
22204,Harrington School District,3113,Harrington High School,SEM1,796,Digital MM,A ,1,no
22204,Harrington School District,3113,Harrington High School,SEM2,796,Digital MM,A ,2,no
22204,Harrington School District,3113,Harrington High School,SEM2,796,Digital MM,B-,1,no
13144,Quincy School District,3088,Quincy High School,SEM1,796,DIGITAL TOOLS,A-,2,no
13144,Quincy School District,3088,Quincy High School,SEM1,796,DIGITAL TOOLS,A ,29,no
13144,Quincy School District,3088,Quincy High School,SEM1,796,DIGITAL TOOLS,B ,9,no
13144,Quincy School District,3088,Quincy High School,SEM1,796,DIGITAL TOOLS,B+,5,no
13144,Quincy School District,3088,Quincy High School,SEM1,796,DIGITAL TOOLS,C-,3,no
13144,Quincy School District,3088,Quincy High School,SEM1,796,DIGITAL TOOLS,C ,2,no
13144,Quincy School District,3088,Quincy High School,SEM1,796,DIGITAL TOOLS,C+,3,no
13144,Quincy School District,3088,Quincy High School,SEM1,796,DIGITAL TOOLS,D ,2,no
13144,Quincy School District,3088,Quincy High School,SEM1,796,DIGITAL TOOLS,D+,3,no
13144,Quincy School District,3088,Quincy High School,SEM1,796,DIGITAL TOOLS,F ,2,no
13144,Quincy School District,3088,Quincy High School,SEM2,796,DIGITAL TOOLS,A-,3,no
13144,Quincy School District,3088,Quincy High School,SEM2,796,DIGITAL TOOLS,A ,20,no
13144,Quincy School District,3088,Quincy High School,SEM2,796,DIGITAL TOOLS,B-,1,no
13144,Quincy School District,3088,Quincy High School,SEM2,796,DIGITAL TOOLS,B ,5,no
13144,Quincy School District,3088,Quincy High School,SEM2,796,DIGITAL TOOLS,B+,5,no
13144,Quincy School District,3088,Quincy High School,SEM2,796,DIGITAL TOOLS,C-,1,no
13144,Quincy School District,3088,Quincy High School,SEM2,796,DIGITAL TOOLS,C ,2,no
13144,Quincy School District,3088,Quincy High School,SEM2,796,DIGITAL TOOLS,C+,1,no
13144,Quincy School District,3088,Quincy High School,SEM2,796,DIGITAL TOOLS,D ,3,no
13144,Quincy School District,3088,Quincy High School,SEM2,796,DIGITAL TOOLS,F ,5,no
31015,Edmonds School District,3123,Edmonds Woodway High School,SEM2,796,DIGITAL TOOLS,A-,5,no
31015,Edmonds School District,3123,Edmonds Woodway High School,SEM2,796,DIGITAL TOOLS,A ,6,no
31015,Edmonds School District,3123,Edmonds Woodway High School,SEM2,796,DIGITAL TOOLS,B-,1,no
31015,Edmonds School District,3123,Edmonds Woodway High School,SEM2,796,DIGITAL TOOLS,B ,9,no
31015,Edmonds School District,3123,Edmonds Woodway High School,SEM2,796,DIGITAL TOOLS,B+,1,no
31015,Edmonds School District,3123,Edmonds Woodway High School,SEM2,796,DIGITAL TOOLS,C ,1,no
31015,Edmonds School District,3123,Edmonds Woodway High School,SEM2,796,DIGITAL TOOLS,D+,1,no
31015,Edmonds School District,3123,Edmonds Woodway High School,SEM2,796,DIGITAL TOOLS,F ,6,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,A-,4,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,A ,22,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,B-,3,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,B ,2,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,B+,4,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,C-,5,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,C ,1,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,C+,3,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,D ,4,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,D+,4,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,F ,5,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,S ,1,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM1,796,DIGITAL TOOLS,W ,6,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,A-,3,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,A ,19,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,B-,3,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,B ,2,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,B+,5,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,C-,4,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,C ,1,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,C+,1,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,D ,4,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,D+,9,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,F ,6,no
31015,Edmonds School District,3303,Mountlake Terrace High School,SEM2,796,DIGITAL TOOLS,W ,3,no
31015,Edmonds School District,3755,Lynnwood High School,SEM1,796,DIGITAL TOOLS,A-,6,no
31015,Edmonds School District,3755,Lynnwood High School,SEM1,796,DIGITAL TOOLS,A ,12,no
31015,Edmonds School District,3755,Lynnwood High School,SEM1,796,DIGITAL TOOLS,B-,2,no
31015,Edmonds School District,3755,Lynnwood High School,SEM1,796,DIGITAL TOOLS,B ,3,no
31015,Edmonds School District,3755,Lynnwood High School,SEM1,796,DIGITAL TOOLS,B+,1,no
31015,Edmonds School District,3755,Lynnwood High School,SEM1,796,DIGITAL TOOLS,C-,1,no
31015,Edmonds School District,3755,Lynnwood High School,SEM1,796,DIGITAL TOOLS,C+,1,no
31015,Edmonds School District,3755,Lynnwood High School,SEM1,796,DIGITAL TOOLS,D ,1,no
31015,Edmonds School District,3755,Lynnwood High School,SEM1,796,DIGITAL TOOLS,D+,4,no
31015,Edmonds School District,3755,Lynnwood High School,SEM1,796,DIGITAL TOOLS,F ,9,no
31015,Edmonds School District,3755,Lynnwood High School,SEM1,796,DIGITAL TOOLS,W ,4,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,A-,10,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,A ,27,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,B-,8,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,B ,6,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,B+,2,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,C-,4,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,C ,3,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,C+,1,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,D ,1,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,D+,1,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,F ,6,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,S ,3,no
31015,Edmonds School District,3755,Lynnwood High School,SEM2,796,DIGITAL TOOLS,W ,6,no
14005,Aberdeen School District,3476,J M Weatherwax High School,TRI1,796,DIGITOOLS,A ,1,no
14005,Aberdeen School District,3476,J M Weatherwax High School,TRI1,796,DIGITOOLS,P ,4,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,A-,4,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,A ,13,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,B-,8,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,B ,5,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,B+,4,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,C-,2,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,C ,4,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,C+,1,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,D ,2,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,F ,13,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,P ,1,no
17406,Tukwila School District,2848,Foster Senior High School,SEM1,796,DIGITOOLS,W ,3,no
17406,Tukwila School District,2848,Foster Senior High School,SEM2,796,DIGITOOLS,A-,1,no
17406,Tukwila School District,2848,Foster Senior High School,SEM2,796,DIGITOOLS,A ,16,no
17406,Tukwila School District,2848,Foster Senior High School,SEM2,796,DIGITOOLS,B-,1,no
17406,Tukwila School District,2848,Foster Senior High School,SEM2,796,DIGITOOLS,B ,2,no
17406,Tukwila School District,2848,Foster Senior High School,SEM2,796,DIGITOOLS,C-,5,no
17406,Tukwila School District,2848,Foster Senior High School,SEM2,796,DIGITOOLS,C ,5,no
17406,Tukwila School District,2848,Foster Senior High School,SEM2,796,DIGITOOLS,C+,4,no
17406,Tukwila School District,2848,Foster Senior High School,SEM2,796,DIGITOOLS,D ,7,no
17406,Tukwila School District,2848,Foster Senior High School,SEM2,796,DIGITOOLS,F ,7,no
17406,Tukwila School District,2848,Foster Senior High School,SEM2,796,DIGITOOLS,P ,1,no
17406,Tukwila School District,2848,Foster Senior High School,SEM2,796,DIGITOOLS,W ,2,no
27417,Fife School District,4582,Columbia Junior High School,SEM1,796,DIGITOOLS,A-,15,no
27417,Fife School District,4582,Columbia Junior High School,SEM1,796,DIGITOOLS,A ,55,no
27417,Fife School District,4582,Columbia Junior High School,SEM1,796,DIGITOOLS,B-,16,no
27417,Fife School District,4582,Columbia Junior High School,SEM1,796,DIGITOOLS,B ,13,no
