X,Y,FID,SchoolCode,Latitude,Longitude,ESDCode,ESDName,LEACode,LEAName,SchoolName,LowestGrad,HighestGra,AddressLin,AddressL_1,City,State,ZipCode,PrincipalN,Email,Phone,OrgCategor,AYPCode,GradeCateg,OrgCateg_1
-119.2190462,46.22168396,2011,5235,46.22169,-119.21906,11801,Educational Service District 123,3017,Kennewick School District,Benton County Jail,9,12,7122 W Okanogan Place, ,Kennewick,Washington,99337,Dennis  Boatman,dennis.boatman@ksd.org,509.222.6522," Adult Jail, Affiliated With District",J,High School,Public
-122.3019695,47.16067321,2012,5321,47.160679,-122.301984,17801,Puget Sound Educational Service District 121,27003,Puyallup School District,Puyallup Open Doors/POD,9,12,716 South Hill Park Drive,Suite B,Puyalllup,Washington,98373,Adriana  Julian,JuliaAC@puyallup.k12.wa.us,253.841.8630," Public School, Re-Engagement School",R,High School,Public
-122.3019695,47.16067321,2013,5322,47.160679,-122.301984,17801,Puget Sound Educational Service District 121,27003,Puyallup School District,Puyallup Parent Partnership Program,K,8,716 South Hill Park Drive,Suite B,Puyallup,Washington,98373,Adriana  Julian,JuliaAC@puyallup.k12.wa.us,253.841.8630," Alternative School, Public School",A,Other,Public
-122.5483795,47.22083247,2014,5353,47.22083824,-122.5483941,17801,Puget Sound Educational Service District 121,27083,University Place School District,CHS Drop-Out Reengagement Program,9,12,8425 40TH ST W, ,University Place,Washington,98466, , , ," Public School, Re-Engagement School",R,High School,Public
-122.8984881,48.4918102,2015,5299,48.491816,-122.898503,29801,Northwest Educational Service District 189,28144,Lopez School District,CVA-Lopez Island,K,12,86 School Road, ,Lopez Island,Washington,98261,Lisa C. Shelby,lshelby@lopez.k12.wa.us,360.468.2202 ext 2250," Alternative School, Public School",A,K-12,Public
-122.5566481,47.17871124,2016,5298,47.17871701,-122.5566627,17801,Puget Sound Educational Service District 121,27400,Clover Park School District,Oakridge Group Home,9,12,8805 Steilacoom Blvd, ,Lakewood,Washington,98498,Carolyn   Watkins,cwatkins@cloverpark.k12.wa.us,253.756.2522, Institution,I,High School,Public
-122.5594055,47.18181687,2017,3910,47.18182263,-122.55942,17801,Puget Sound Educational Service District 121,27400,Clover Park School District,Oak Grove,K,5,8805 Steilacoom Blvd SW, ,Lakewood,Washington,98498-4771,Carolyn  Watkins,cwatkins@cloverpark.k12.wa.us,253.756.2522, Institution,I,Elementary School,Public
-119.264275,47.1044829,2018,5273,47.104489,-119.264289,4801,North Central Educational Service District 171,13161,Moses Lake School District,Columbia Basin Technical Skills Center,10,12,900 W Yonezawa Blvd, ,Moses Lake,Washington,98837,Christine   Armstrong,carmstrong@cbtech.k12.wa.us,509.766.2650," Public School, Vocational/technical school",V,High School,Public
-117.3965163,47.65496368,2019,5434,47.65497,-117.39653,OSPI,Office of Superintendent of Public Instruction,32801,Educational Service District 101,NEWESD 101 Open Doors,11,12,"901 E. 2nd Avenue, Suite 100", ,Spokane,Washington,99202,Dr. Trina  Clayeux,trinac@nextgenzone.org,509.340.7800," Public School, Re-Engagement School",R,High School,Public
-117.4255963,47.65121368,2020,2045,47.65122,-117.42561,32801,Educational Service District 101,32081,Spokane School District,Shrine Hospital,PK,12,911 W 5Th Ave, ,Spokane,Washington,99204-1571,Wendy  Bleecker,WendyBl@SpokaneSchools.org,509.354.5900," Public School, Special Education School",S,PK-12,Public
-119.9145361,46.25550403,2021,5399,46.25551,-119.91455,39801,Educational Service District 105,39200,Grandview School District,Step Up to College Open Doors High School,9,12,913 W 2nd ST, ,Grandview,Washington,98930,Henry M Strom,hmstrom@gsd200.org,509.882.8500," Public School, Re-Engagement School",R,High School,Public
-122.3779554,47.5170742,2022,5469,47.51708,-122.37797,34950,Washington State Charter School Commission,17905,Summit Public School: Atlas,Summit Public School: Atlas,6,12,9601 35th Avenue SW, ,Seattle,Washington,98126,Katheryn  Bubalo,kbubalo@summitps.org,504.220.9397,"Charter,  Public School, Regular School",P,Other,Charter
-120.6399959,46.57275408,2023,5540,46.57276,-120.64001,39801,Educational Service District 105,39208,West Valley School District (Yakima),West Valley Open Doors,9,12,9800 Zier Rd, ,Yakima,Washington,98908,Ashley  Lieberknecht,lieberknechta@wvsd208.org,509-823-2600," Public School, Re-Engagement School",R,High School,Public
-117.4112063,47.64797368,2024,4286,47.64798,-117.41122,32801,Educational Service District 101,32081,Spokane School District,Sacred Heart Hospital,PK,12,W 101 8Th Ave, ,Spokane,Washington,99204-2396,Rebecca  Doughty,RebeccaDo@SpokaneSchools.org,509.354.6401," Public School, Special Education School",S,PK-12,Public
-118.6172021,46.97496887,2025,5303,46.97497502,-118.6172159,32801,Educational Service District 101,1160,Ritzville School District,Lind Ritzville Middle School,6,8,PO Box 340, ,LInd,Washington,99341, , , ," Affiliated With District, Public School",P,Middle School,Public
-120.3164516,47.42732619,2026,5316,47.4273322,-120.3164658,4801,North Central Educational Service District 171,4246,Wenatchee School District,Open Doors  Re-Engagement Wenatchee,9,12,PO Box 2360, ,Wenatchee,Washington,98807,Kory  Kalahar,kalahar.k@wenatcheeschools.org,509.663.7947," Public School, Re-Engagement School",R,High School,Public
-124.6375348,47.90841067,2027,5430,47.90841626,-124.6375498,OSPI,Office of Superintendent of Public Instruction,5903,Quileute Tribal School District,Quileute Tribal School,K,12,PO Box 39, ,La Push,Washington,98350,Sheri  Crippen,sheri.crippen@quileutetribalschool.org,360.374.5657," Not Affiliated With District, Tribal School",Q,K-12,Tribal
-122.5480303,45.64416183,2028,5535,45.64416751,-122.5480445,6801,Educational Service District 112,6114,Evergreen School District (Clark),Cascadia Technical Academy ALE,9,12,12200 NE 28th Street, ,Vancouver,Washington,98682-7858,Mark  Mansell,Mark.Mansell@evergreenps.org,360.604.1050," Public School, Regular School",P,High School,Public
-122.6765137,45.62996758,2029,5290,45.62997325,-122.6765279,OSPI,Office of Superintendent of Public Instruction,6801,Educational Service District 112,Clark County Juvenile Detention School,3,12,PO Box 5000, ,Vancouver,Washington,98660,Kevin  Johnson,kevin.johnson@esd112.org,360.750.7500 ext.105, Detention Center,J,Other,Public
-122.8747653,47.82333623,2030,5236,47.823342,-122.87478,18801,Olympic Educational Service District 114,16048,Quilcene School District,PEARL,K,8,PO Box 40, ,Quilcene,Washington,98376,Gary   Stebbins,gstebbins@qsd48.org,360.765.3363," Alternative School, Public School",A,Other,Public
-122.3300954,47.58093419,2031,5260,47.58094,-122.33011,17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,Seattle Skills Center,9,12,PO Box 34165, ,Seattle,Washington,98124-1165,Dan  Golosman,dpgolosman@seattleschools.org,206.252.0730," Public School, Vocational/technical school",V,High School,Public
-122.3435457,47.28228061,2032,5279,47.28228641,-122.3435603,17801,Puget Sound Educational Service District 121,17210,Federal Way School District,Birth to Three Development Center,PK,PK,PO Box 24269, ,Federal Way,Washington,98093-1269,Jennifer  Westover,jwestove@fwps.org,253.945.2143," Public School, Special Education School",S,PK Only,Public
-119.5174957,48.41799185,2033,5195,48.417998,-119.51751,4801,North Central Educational Service District 171,24019,Omak School District,Washington Virtual Academy Omak Elementary,K,5,PO Box 833, ,Omak,Washington,98841,Tammy  Alonzo,taalonzo@k12.com,253.964.1068," Public School, Regular School",P,Elementary School,Public
-119.5335857,48.41049785,2034,5196,48.410504,-119.5336,4801,North Central Educational Service District 171,24019,Omak School District,Washington Virtual Academy Omak Middle School,6,8,PO Box 833, ,Omak,Washington,98841,Tammy  Alanzo,taalonzo@k12.com,253.964.1068," Public School, Regular School",P,Middle School,Public
-119.5812478,48.36599732,2035,3193,48.36600346,-119.5812621,4801,North Central Educational Service District 171,24105,Okanogan School District,Okanogan Co Juvenile Detention,8,12,PO Box 592, ,Okanogan,Washington,98840-0000,Roy   Johnson,rojohnson@oksd.wednet.edu,509.422.3629, Detention Center,J,High School,Public
-123.8103898,46.66230104,2036,5247,46.66230665,-123.8104045,34801,Capital Region ESD 113,25118,South Bend School District,Pacific County Jail,9,12,PO Box 437, ,South Bend,Washington,98586,Jon  Tienhaara,jtienhaa@southbendschools.org,360.875.6041," Alternative School, Public School",A,High School,Public
-122.3495675,46.92509822,2037,5300,46.925104,-122.349582,17801,Puget Sound Educational Service District 121,27404,Eatonville School District,Mt. Rainier Parent Partnership,K,8,P.O. Box 698, ,Eatonville,Washington,98328,Linn  Ames,l.ames@eatonville.wednet.edu,360.879.1650," Alternative School, Public School",A,Other,Public
-122.2633649,46.86848563,2038,5531,46.86849142,-122.2633793,17801,Puget Sound Educational Service District 121,27404,Eatonville School District,Eatonville Online Academy,6,8,PO Box 698, ,Eatonville,Washington,98328,Janna  Rush,j.rush@eatonville.wednet.edu,360-879-1400," Alternative School, Public School",A,Middle School,Public
-118.0555203,48.60631968,2039,5516,48.606326,-118.0555343,32801,Educational Service District 101,33212,Kettle Falls School District,Kettle Falls Early Learning Center,PK,PK,PO Box 458, ,Kettle Falls,Washington,99141, , , ," Affiliated With District, Public School",P,PK Only,Public
-120.3296433,46.37748195,2040,5550,46.37748789,-120.3296573,OSPI,Office of Superintendent of Public Instruction,39901,Yakama Nation Tribal Compact,Yakama Nation School,K,12,PO Box 151, ,Toppenish,Washington,989480151,Adam  Strom,adam@yakama.com,509.865.4778," Not Affiliated With District, Tribal School",Q,K-12,Tribal
-117.7788978,48.91821254,2041,5252,48.9182189,-117.7789119,32801,Educational Service District 101,33211,Northport School District,Northport Homelink Program,K,12,PO Box 679, ,Northport,Washington,99157,Donald   Baribault,homelink@northportschools.org,509 732-4251," Alternative School, Public School",A,K-12,Public
-122.9616882,46.71663469,2042,3598,46.71664039,-122.9617027,OSPI,Office of Superintendent of Public Instruction,21926,Centralia College,Garrett Heyns High School,8,12,P.O. Box 900, ,Shelton,Washington,98584,Jacquie  Armstrong,jmarmstrong@doc1.wa.gov,360.427.4674, Institution,I,High School,Public
-122.5988062,47.16890044,2043,5013,47.16890621,-122.5988207,17801,Puget Sound Educational Service District 121,27001,Steilacoom Hist. School District,PreSchool and ECEAP,PK,PK, , , , , ,Susanne  Beauchaine,sbeauchaine@steilacoom.k12.wa.us,253.983.2239," Public School, Regular School",P,PK Only,Public
-119.8965537,46.74099716,2044,5120,46.74100317,-119.8965677,39801,Educational Service District 105,13073,Wahluke School District,Mattawa Elementary Pre-School,PK,PK,P.O. Box 907, ,Mattawa,Washington,99349-0907,Sean  Langdon,selangdon@wahluke.net,509.932.4433," Preschool, Public School",P,PK Only,Public
-121.1767217,47.23662209,2045,5242,47.236628,-121.176736,39801,Educational Service District 105,19028,Easton School District,Easton Secondary School,7,12,PO Box 8, ,Easton,Washington,98925,Patrick  Dehuff,plouset@easton.wednet.edu,509.656.2317," Affiliated With District, Public School",P,Other,Public
-122.6283419,45.64221779,2046,5258,45.64222347,-122.6283562,6801,Educational Service District 112,6037,Vancouver School District,Vancouver Contracted Programs,9,12,PO BOX 8937, ,VANCOUVER,Washington,98668-8937,Trish Ann Piliado,Trish.Piliado@vansd.org,360.313.1330," Public School, Regular School",P,High School,Public
-118.8727052,46.6624539,2047,5261,46.66246,-118.872719,11801,Educational Service District 123,11051,North Franklin School District,North Franklin Virtual Academy,K,6,PO Box 829, ,Connell,Washington,99326,Jim  Jacobs,jjacobs@nfsd.org,509.234.2021," Alternative School, Public School",A,Elementary School,Public
-122.0732845,47.14551418,2048,5338,47.14552,-122.073299,17801,Puget Sound Educational Service District 121,27416,White River School District,White River Reengagement Program,9,12,PO Box 2050, ,Buckley,Washington,98321,Michael  Hagadone,mhagadone@whiteriver.wednet.edu,360.829.3817," Public School, Re-Engagement School",R,High School,Public
-122.6283419,45.64221779,2049,5342,45.64222347,-122.6283562,6801,Educational Service District 112,6037,Vancouver School District,Open Doors Vancouver,9,12,PO BOX 8937, ,VANCOUVER,Washington,98668-8937,Deanna Lynn Hogan,Deanna.Hogan@vansd.org,360.313.4990," Public School, Re-Engagement School",R,High School,Public
-122.0258736,47.16496782,2050,5390,47.16497364,-122.025888,17801,Puget Sound Educational Service District 121,27416,White River School District,White River Homeschool,K,12,PO Box 2050, ,Buckley,Washington,98321,Mike  Hagadone,mhagadone@whiteriver.wednet.edu,360.829.0600," Not Affiliated With District, Public School",P,K-12,Public
-122.9812919,46.72706407,2051,5463,46.72706977,-122.9813064,34801,Capital Region ESD 113,21401,Centralia School District,Early Learning Center,PK,PK,PO BOX 610, ,Centralia,Washington,98531,Kate  Pothier,kpothier@centralia.wednet.edu,360.330.7600," Preschool, Public School",P,PK Only,Public
-117.7154685,48.27799533,2052,5523,48.27800166,-117.7154824,32801,Educational Service District 101,33036,Chewelah School District,Chewelah Open Doors Reengagement Program,10,13,PO Box 47, ,Chewelah,Washington,99109,Erin  Dell,edell@chewelahk12.us,509.685.6800," Public School, Re-Engagement School",R,High School,Public
-118.6052507,48.87522735,2053,5530,48.87523362,-118.6052649,32801,Educational Service District 101,10050,Curlew School District,Ferry County Open Doors,8,12,PO Box 370, ,Curlew,Washington,99118,John  Glenewinkel,jgwinkel@curlew.wednet.edu,509-779-4931," Public School, Re-Engagement School",R,High School,Public
-117.4340678,47.709518,2054,2950,47.70952432,-117.4340816,32801,Educational Service District 101,32081,Spokane School District,Ridgeview Elementary,PK,6,5610 N. Maple, ,Spokane,Washington,99205-6798,Melinda  Keberle,MelindaKe@SpokaneSchools.org,509.354.4000," Public School, Regular School",P,Elementary School,Public
-117.4281883,47.66344602,2055,5113,47.66345234,-117.428202,32801,Educational Service District 101,32081,Spokane School District,Spokane Regional Health District,PK,PK,1101 W. College Ave, ,Spokane,Washington,99201, , , ," Preschool, Public School",P,PK Only,Public
-117.9809902,47.29615576,2056,3050,47.296162,-117.981004,32801,Educational Service District 101,22008,Sprague School District,Sprague Elementary,K,4,PO Box 305, ,Sprague,Washington,99032-0305,William  Ressel,bressel@sprague.wednet.edu,509.257.2511," Public School, Regular School",P,Elementary School,Public
-117.5856914,47.08795774,2057,3068,47.087964,-117.585705,32801,Educational Service District 101,38322,St. John School District,St John/Endicott High,9,12,W 301 Nob Hill, ,Saint John,Washington,99171-0058,Mark  Purvine,mpurvine@stjohn.wednet.edu,509.648.3336," Public School, Regular School",P,High School,Public
-122.3728262,48.24511016,2058,5004,48.245116,-122.372841,29801,Northwest Educational Service District 189,31401,Stanwood-Camano School District,Saratoga School,K,12,9307 271st Street NW, ,Stanwood,Washington,98292,MONICA  MCDANIEL,mmcdaniel@stanwood.wednet.edu,360.629.1372," Alternative School, Public School",A,K-12,Public
-120.6931385,48.33749897,2059,2265,48.337505,-120.693153,4801,North Central Educational Service District 171,4069,Stehekin School District,Stehekin Elementary,K,8,PO Box 37, ,Stehekin,Washington,98852-0037,Ron  Scutt,ronscuttstehekin@aol.com,(509) 670-9193," Public School, Regular School",P,Other,Public
-121.8838229,45.69549125,2060,1765,45.695497,-121.883837,6801,Educational Service District 112,30303,Stevenson-Carson School District,Preschool,PK,PK,PO Box 850, ,Stevenson,Washington,98648-0850,Karen  Schreiber,schreiberk@scsd303.org,509.427.5672," Public School, Special Education School",S,PK Only,Public
-121.8147189,47.8659301,2061,1670,47.86593599,-121.8147334,29801,Northwest Educational Service District 189,31311,Sultan School District,Student Services School,PK,PK,514 4th Street, ,Sultan,Washington,98294-0000,Gayle  Wilson,gayle.wilson@sultan.k12.wa.us,360.793.9801 ext. 1042," Public School, Special Education School",S,PK Only,Public
-122.1780309,47.18439798,2062,3349,47.18440378,-122.1780453,17801,Puget Sound Educational Service District 121,27320,Sumner School District,Bonney Lake Elementary,PK,5,18715 80th St E, ,Bonney Lake,Washington,98390-0000,Bobbi  Snider,bobbi_snider@sumnersd.org,253.891.4500," Public School, Regular School",P,Elementary School,Public
-122.2373833,47.20478385,2063,1781,47.20478966,-122.2373978,17801,Puget Sound Educational Service District 121,27320,Sumner School District,Sumner Special Services,PK,PK,1202 WOOD AVENUE, ,SUMNER,Washington,98390-0000,Keoni  Smith,keoni_smith@sumnersd.org,253.891.6000," Public School, Special Education School",S,PK Only,Public
-122.4459531,47.25580755,2064,1514,47.25581334,-122.4459677,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Alternative Spcl Needs Div Occ,9,12,601 S 8TH ST, ,TACOMA,Washington,98405-4614,John  Goebel,jgoebel@tacoma.k12.wa.us,(253) 571-1040," Public School, Special Education School",S,High School,Public
-122.4469302,47.256361,2065,1585,47.25636679,-122.4469448,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Comm Based Trans Program,11,12,601 S 8th St, ,Tacoma,Washington,98405-0000,Betsy  Minor-Reid,bminnor@tacoma.k12.wa.us,253.571.1145," Public School, Special Education School",S,High School,Public
-122.5103518,47.25547782,2066,1797,47.2554836,-122.5103664,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Day Reporting School,9,12,5501 6th Avenue, ,Tacoma,Washington,98406-0000,Greg  Eisnaugle,geisnau@tacoma.k12.wa.us,253.571.2670," Alternative School, Public School",A,High School,Public
-122.5058627,47.27009509,2067,2747,47.27010087,-122.5058773,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Downing,PK,5,2502 N Orchard St, ,Tacoma,Washington,98406-0000,Olga  Manos,omanos@tacoma.k12.wa.us,253.571.7133," Public School, Regular School",P,Elementary School,Public
-122.4954137,47.26109183,2068,2103,47.26109761,-122.4954282,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Jefferson,PK,5,6501 N 23rd St, ,Tacoma,Washington,98406-0000,Avance  Byrd,abyrd@tacoma.k12.wa.us,253.571.2261," Public School, Regular School",P,Elementary School,Public
-122.4857453,47.23052472,2069,4109,47.2305305,-122.4857599,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Oakland High School,9,12,3319 S Adams St, ,Tacoma,Washington,98409-0000,John  Jones,jjones@tacoma.k12.wa.us,253.571.5102," Alternative School, Public School",A,High School,Public
-122.5154206,47.25318902,2070,4283,47.25319479,-122.5154351,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Pearl Street Center,6,12,815 S Pearl St, ,Tacoma,Washington,98465-0000,Betsy  Minor-Reid,bminnor@tacoma.k12.wa.us,253.571.2600," Public School, Special Education School",S,Other,Public
-122.5109508,47.30188036,2071,5169,47.30188614,-122.5109654,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Science and Math Institute,9,12,5501 N. Pearl St, ,Tacoma,Washington,98407,Jon   Ketler,jketler@tacoma.k12.wa.us,253.571.2300," Public School, Regular School",P,High School,Public
-122.4469342,47.25567652,2072,5192,47.2556823,-122.4469488,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Special Services,PK,12,601 S. 8th Street, ,Tacoma,Washington,98405,Barbara   O'Rorke,bororke@tacoma.k12.wa.us,253.571.1224," Alternative School, Public School",A,PK-12,Public
-122.4465201,47.25228838,2073,5183,47.25229416,-122.4465347,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Tacoma Business Academy,9,12,601 S 8th Street,c/o John Page/Annex Bldg.,Tacoma,Washington,98405,Rue  Palmer,rpalmer@tacoma.k12.wa.us,253.571.1126," Alternative School, Public School",A,High School,Public
-122.4459531,47.25580755,2074,5184,47.25581334,-122.4459677,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Tacoma Pierce County Education Center,9,12,601 S 8th street,c/o Miguel Villahermosa,Tacoma,Washington,98405, , , ," Adult Jail, Affiliated With District, Public School",J,High School,Public
-122.43692,47.24359495,2075,1860,47.24360073,-122.4369345,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Tacoma School of the Arts,10,12,PO Box 1357, ,Tacoma,Washington,98402-0000,Jon  Ketler,jketler@tacoma.k12.wa.us,253.571.7900," Public School, Regular School",P,High School,Public
-124.2874021,47.3441864,2076,5032,47.344192,-124.287417,34801,Capital Region ESD 113,14077,Taholah School District,Taholah Elementary & Middle School,K,8,PO Box 249, ,Taholah,Washington,98587-0249,Patricia  Larriva,plarriva@taholah.org,360.276.4780," Public School, Regular School",P,Other,Public
-122.8472955,46.86224428,2077,4238,46.86225,-122.84731,34801,Capital Region ESD 113,34402,Tenino School District,Tenino Elementary School,3,5,PO Box 4024, ,Tenino,Washington,98589-4024,Charly  Harrington,harringtonc@tenino.k12.wa.us,360.264.3720," Public School, Regular School",P,Elementary School,Public
-122.8489467,46.44068383,2078,5190,46.44068953,-122.8489611,34801,Capital Region ESD 113,21237,Toledo School District,Cowlitz Prairie Academy,7,12,PO Box 469, ,Toledo,Washington,98591,MARTIN  HUFFMAN,mhuffman@toledo.k12.wa.us,360.864.6325," Affiliated With District, Public School",P,Other,Public
-119.4324253,48.70225431,2079,3176,48.70226049,-119.4324396,4801,North Central Educational Service District 171,24404,Tonasket School District,Tonasket Elementary School,PK,5,35ES HIGHWAY 20, ,TONASKET,Washington,98855-0000,Lilly  Martin,lmartin@tonasket.wednet.edu,509.486.4933," Public School, Regular School",P,Elementary School,Public
-119.434357,48.70170052,2080,4196,48.7017067,-119.4343714,4801,North Central Educational Service District 171,24404,Tonasket School District,Tonasket Middle School,6,8,35MS HIGHWAY 20, ,TONASKET,Washington,98855-0000,Kristi  Krieg,kkrieg@tonasket.wednet.edu,509.486.2147," Public School, Regular School",P,Middle School,Public
-120.334011,46.38153106,2081,1508,46.381537,-120.334025,39801,Educational Service District 105,39202,Toppenish School District,Computer Academy Toppenish High School,6,12,143 WARD RD, ,TOPPENISH,Washington,98948-1000,Enrique  Romero,eromero@toppenish.wednet.edu,509.865.3377," Alternative School, Public School",A,Other,Public
-122.7407055,46.32414502,2082,4264,46.32415072,-122.7407199,6801,Educational Service District 112,8130,Toutle Lake School District,Toutle Lake Elementary,K,6,5050 Spirit Lake Hwy, ,Toutle,Washington,98649-9701,Vicky  Frandsen,vicky.frandsen@toutlesd.k12.wa.us,360.274.6142 ext.2002," Public School, Regular School",P,Elementary School,Public
-121.5156969,45.9891742,2083,3062,45.98918,-121.515711,6801,Educational Service District 112,20400,Trout Lake School District,Trout Lake Elementary,K,4,PO Box 488, ,Trout Lake,Washington,98650-0488,Douglas  Dearden,d.dearden@tlschool.net,509.395.2571," Public School, Regular School",P,Elementary School,Public
-122.9136684,46.98239928,2084,5014,46.982405,-122.913683,34801,Capital Region ESD 113,34033,Tumwater School District,New Market High School,10,12,7299 New Market Street SW, ,Tumwater,Washington,98501,Kris  Blum,kris.blum@newmarketskills.com,360.570.4500," Alternative School, Public School",A,High School,Public
-122.9480884,46.97821428,2085,1713,46.97822,-122.948103,34801,Capital Region ESD 113,34033,Tumwater School District,Secondary Options,8,12,7741 Littlerock Road SW, ,Olympia,Washington,98512-0000,Dave  Meyers,dave.meyers@tumwater.k12.wa.us,360.709.7760," Alternative School, Public School",A,High School,Public
-117.7212661,48.16938868,2086,1932,48.169395,-117.72128,32801,Educational Service District 101,33070,Valley School District,Columbia Virtual Academy,K,8,3030 Huffman Road, ,Valley,Washington,99181,Dave  Vail,Dave.Vail@cva.org,509.937.2753," Alternative School, Public School",A,K-12,Public
-122.6391658,45.63597433,2087,1738,45.63598,-122.63918,6801,Educational Service District 112,6037,Vancouver School District,Gate Program,12,12,3100 E 18TH ST, ,VANCOUVER,Washington,98661-5645,Jeremy  Berliss,Jeremy.Berliss@vansd.org,360.313.1800," Public School, Special Education School",S,High School,Public
-122.6206162,45.6425811,2088,3932,45.64258677,-122.6206304,6801,Educational Service District 112,6037,Vancouver School District,Lewis and Clark High School,9,12,2901 GENERAL ANDERSON AVE, ,VANCOUVER,Washington,98661-6181,Steven D Lindblom,steve.lindblom@vansd.org,360.313.4350," Public School, Regular School",P,High School,Public
-122.5847358,45.61943133,2089,3556,45.619437,-122.58475,6801,Educational Service District 112,6037,Vancouver School District,Vancouver Home Connection,K,12,PO BOX 8937, ,VANCOUVER,Washington,98668-8937,Deanna Lynn Hogan,deanna.hogan@vansd.org,360.313.4990," Alternative School, Public School",A,K-12,Public
-122.5847358,45.61943133,2090,5149,45.619437,-122.58475,6801,Educational Service District 112,6037,Vancouver School District,Vancouver Virtual Learning Academy,6,12,PO BOX 8937, ,VANCOUVER,Washington,98668-8937,Deanna Lynn Hogan,deanna.hogan@vansd.org,360.313.4990," Alternative School, Public School",A,K-12,Public
-122.4552914,47.42300821,2091,1822,47.423014,-122.455306,17801,Puget Sound Educational Service District 121,17402,Vashon Island School District,Family Link,K,12,20120 VASHON HWY SW, ,VASHON,Washington,98070-6026,Danny  Rock,drock@vashonsd.org,206.463.9171," Alternative School, Public School",A,K-12,Public
