X,Y,FID,SchoolCode,Latitude,Longitude,ESDCode,ESDName,LEACode,LEAName,SchoolName,LowestGrad,HighestGra,AddressLin,AddressL_1,City,State,ZipCode,PrincipalN,Email,Phone,OrgCategor,AYPCode,GradeCateg,OrgCateg_1
-122.898488094356409,48.491810198758891,2015,5299,48.491816,-122.898503,29801,Northwest Educational Service District 189,28144,Lopez School District,CVA-Lopez Island,K,12,86 School Road, ,Lopez Island,Washington,98261,Lisa C. Shelby,lshelby@lopez.k12.wa.us,360.468.2202 ext 2250," Alternative School, Public School",A,K-12,Public
-122.556648112024902,47.17871124185956,2016,5298,47.1787170102,-122.556662659,17801,Puget Sound Educational Service District 121,27400,Clover Park School District,Oakridge Group Home,9,12,8805 Steilacoom Blvd, ,Lakewood,Washington,98498,Carolyn   Watkins,cwatkins@cloverpark.k12.wa.us,253.756.2522, Institution,I,High School,Public
-122.559405475605999,47.181816865359885,2017,3910,47.1818226343,-122.559420023,17801,Puget Sound Educational Service District 121,27400,Clover Park School District,Oak Grove,K,5,8805 Steilacoom Blvd SW, ,Lakewood,Washington,98498-4771,Carolyn  Watkins,cwatkins@cloverpark.k12.wa.us,253.756.2522, Institution,I,Elementary School,Public
-119.264275039407323,47.104482904739697,2018,5273,47.104489,-119.264289,04801,North Central Educational Service District 171,13161,Moses Lake School District,Columbia Basin Technical Skills Center,10,12,900 W Yonezawa Blvd, ,Moses Lake,Washington,98837,Christine   Armstrong,carmstrong@cbtech.k12.wa.us,509.766.2650," Public School, Vocational/technical school",V,High School,Public
-117.396516268683015,47.65496368100235,2019,5434,47.6549699999,-117.396529999,OSPI,Office of Superintendent of Public Instruction,32801,Educational Service District 101,NEWESD 101 Open Doors,11,12,"901 E. 2nd Avenue, Suite 100", ,Spokane,Washington,99202,Dr. Trina  Clayeux,trinac@nextgenzone.org,509.340.7800," Public School, Re-Engagement School",R,High School,Public
-117.425596265383717,47.65121368397508,2020,2045,47.6512200004,-117.42561,32801,Educational Service District 101,32081,Spokane School District,Shrine Hospital,PK,12,911 W 5Th Ave, ,Spokane,Washington,99204-1571,Wendy  Bleecker,WendyBl@SpokaneSchools.org,509.354.5900," Public School, Special Education School",S,PK-12,Public
-119.914536098347398,46.255504025124253,2021,5399,46.2555099998,-119.91455,39801,Educational Service District 105,39200,Grandview School District,Step Up to College Open Doors High School,9,12,913 W 2nd ST, ,Grandview,Washington,98930,Henry M Strom,hmstrom@gsd200.org,509.882.8500," Public School, Re-Engagement School",R,High School,Public
-122.377955408304416,47.517074195029224,2022,5469,47.5170799999,-122.37797,34950,Washington State Charter School Commission,17905,Summit Public School: Atlas,Summit Public School: Atlas,6,12,9601 35th Avenue SW, ,Seattle,Washington,98126,Katheryn  Bubalo,kbubalo@summitps.org,504.220.9397,"Charter,  Public School, Regular School",P,Other,Charter
-120.639995906089609,46.572754075387721,2023,5540,46.5727600004,-120.64001,39801,Educational Service District 105,39208,West Valley School District (Yakima),West Valley Open Doors,9,12,9800 Zier Rd, ,Yakima,Washington,98908,Ashley  Lieberknecht,lieberknechta@wvsd208.org,509-823-2600," Public School, Re-Engagement School",R,High School,Public
-117.411206268942337,47.647973682594795,2024,4286,47.6479799998,-117.41122,32801,Educational Service District 101,32081,Spokane School District,Sacred Heart Hospital,PK,12,W 101 8Th Ave, ,Spokane,Washington,99204-2396,Rebecca  Doughty,RebeccaDo@SpokaneSchools.org,509.354.6401," Public School, Special Education School",S,PK-12,Public
-118.617202067752103,46.974968871824586,2025,5303,46.974975023,-118.617215883,32801,Educational Service District 101,01160,Ritzville School District,Lind Ritzville Middle School,6,8,PO Box 340, ,LInd,Washington,99341, , , ," Affiliated With District, Public School",P,Middle School,Public
-120.316451603648773,47.427326187768834,2026,5316,47.4273321987,-120.316465823,04801,North Central Educational Service District 171,04246,Wenatchee School District,Open Doors  Re-Engagement Wenatchee,9,12,PO Box 2360, ,Wenatchee,Washington,98807,Kory  Kalahar,kalahar.k@wenatcheeschools.org,509.663.7947," Public School, Re-Engagement School",R,High School,Public
-124.637534757620614,47.908410668339314,2027,5430,47.9084162568,-124.637549801,OSPI,Office of Superintendent of Public Instruction,05903,Quileute Tribal School District,Quileute Tribal School,K,12,PO Box 39, ,La Push,Washington,98350,Sheri  Crippen,sheri.crippen@quileutetribalschool.org,360.374.5657," Not Affiliated With District, Tribal School",Q,K-12,Tribal
-122.548030286439129,45.644161833774987,2028,5535,45.6441675146,-122.548044512,06801,Educational Service District 112,06114,Evergreen School District (Clark),Cascadia Technical Academy ALE,9,12,12200 NE 28th Street, ,Vancouver,Washington,98682-7858,Mark  Mansell,Mark.Mansell@evergreenps.org,360.604.1050," Public School, Regular School",P,High School,Public
-122.676513664872218,45.629967584234414,2029,5290,45.6299732522,-122.676527909,OSPI,Office of Superintendent of Public Instruction,06801,Educational Service District 112,Clark County Juvenile Detention School,3,12,PO Box 5000, ,Vancouver,Washington,98660,Kevin  Johnson,kevin.johnson@esd112.org,360.750.7500 ext.105, Detention Center,J,Other,Public
-122.874765256633211,47.823336229706321,2030,5236,47.823342,-122.87478,18801,Olympic Educational Service District 114,16048,Quilcene School District,PEARL,K,8,PO Box 40, ,Quilcene,Washington,98376,Gary   Stebbins,gstebbins@qsd48.org,360.765.3363," Alternative School, Public School",A,Other,Public
-122.330095401738092,47.58093418637548,2031,5260,47.5809399999,-122.33011,17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,Seattle Skills Center,9,12,PO Box 34165, ,Seattle,Washington,98124-1165,Dan  Golosman,dpgolosman@seattleschools.org,206.252.0730," Public School, Vocational/technical school",V,High School,Public
-122.343545741044025,47.282280609090613,2032,5279,47.2822864052,-122.343560275,17801,Puget Sound Educational Service District 121,17210,Federal Way School District,Birth to Three Development Center,PK,PK,PO Box 24269, ,Federal Way,Washington,98093-1269,Jennifer  Westover,jwestove@fwps.org,253.945.2143," Public School, Special Education School",S,PK Only,Public
-119.517495698872253,48.417991845850239,2033,5195,48.417998,-119.51751,04801,North Central Educational Service District 171,24019,Omak School District,Washington Virtual Academy Omak Elementary,K,5,PO Box 833, ,Omak,Washington,98841,Tammy  Alonzo,taalonzo@k12.com,253.964.1068," Public School, Regular School",P,Elementary School,Public
-119.533585698551022,48.410497848326877,2034,5196,48.410504,-119.5336,04801,North Central Educational Service District 171,24019,Omak School District,Washington Virtual Academy Omak Middle School,6,8,PO Box 833, ,Omak,Washington,98841,Tammy  Alanzo,taalonzo@k12.com,253.964.1068," Public School, Regular School",P,Middle School,Public
-119.58124777940445,48.365997318547194,2035,3193,48.3660034628,-119.58126208,04801,North Central Educational Service District 171,24105,Okanogan School District,Okanogan Co Juvenile Detention,8,12,PO Box 592, ,Okanogan,Washington,98840-0000,Roy   Johnson,rojohnson@oksd.wednet.edu,509.422.3629, Detention Center,J,High School,Public
-123.8103898446372,46.662301037637157,2036,5247,46.6623066511,-123.810404481,34801,Capital Region ESD 113,25118,South Bend School District,Pacific County Jail,9,12,PO Box 437, ,South Bend,Washington,98586,Jon  Tienhaara,jtienhaa@southbendschools.org,360.875.6041," Alternative School, Public School",A,High School,Public
-122.349567542391,46.925098224260879,2037,5300,46.9251040002,-122.349582,17801,Puget Sound Educational Service District 121,27404,Eatonville School District,Mt. Rainier Parent Partnership,K,8,P.O. Box 698, ,Eatonville,Washington,98328,Linn  Ames,l.ames@eatonville.wednet.edu,360.879.1650," Alternative School, Public School",A,Other,Public
-122.26336485918992,46.868485633856956,2038,5531,46.8684914154,-122.26337929,17801,Puget Sound Educational Service District 121,27404,Eatonville School District,Eatonville Online Academy,6,8,PO Box 698, ,Eatonville,Washington,98328,Janna  Rush,j.rush@eatonville.wednet.edu,360-879-1400," Alternative School, Public School",A,Middle School,Public
-118.055520275078237,48.606319679358236,2039,5516,48.606325997,-118.055534347,32801,Educational Service District 101,33212,Kettle Falls School District,Kettle Falls Early Learning Center,PK,PK,PO Box 458, ,Kettle Falls,Washington,99141, , , ," Affiliated With District, Public School",P,PK Only,Public
-120.329643327174608,46.37748194992524,2040,5550,46.3774878926,-120.329657326,OSPI,Office of Superintendent of Public Instruction,39901,Yakama Nation Tribal Compact,Yakama Nation School,K,12,PO Box 151, ,Toppenish,Washington,989480151,Adam  Strom,adam@yakama.com,509.865.4778," Not Affiliated With District, Tribal School",Q,K-12,Tribal
-117.778897758906595,48.918212536654067,2041,5252,48.9182189035,-117.778911851,32801,Educational Service District 101,33211,Northport School District,Northport Homelink Program,K,12,PO Box 679, ,Northport,Washington,99157,Donald   Baribault,homelink@northportschools.org,509 732-4251," Alternative School, Public School",A,K-12,Public
-122.961688174203346,46.716634688581422,2042,3598,46.7166403904,-122.961702687,OSPI,Office of Superintendent of Public Instruction,21926,Centralia College,Garrett Heyns High School,8,12,P.O. Box 900, ,Shelton,Washington,98584,Jacquie  Armstrong,jmarmstrong@doc1.wa.gov,360.427.4674, Institution,I,High School,Public
-122.598806180308188,47.168900441055342,2043,5013,47.168906205,-122.598820731,17801,Puget Sound Educational Service District 121,27001,Steilacoom Hist. School District,PreSchool and ECEAP,PK,PK, , , , , ,Susanne  Beauchaine,sbeauchaine@steilacoom.k12.wa.us,253.983.2239," Public School, Regular School",P,PK Only,Public
-119.896553712731802,46.740997162736527,2044,5120,46.7410031723,-119.896567711,39801,Educational Service District 105,13073,Wahluke School District,Mattawa Elementary Pre-School,PK,PK,P.O. Box 907, ,Mattawa,Washington,99349-0907,Sean  Langdon,selangdon@wahluke.net,509.932.4433," Preschool, Public School",P,PK Only,Public
-121.176721672142278,47.236622087957883,2045,5242,47.2366279996,-121.176736,39801,Educational Service District 105,19028,Easton School District,Easton Secondary School,7,12,PO Box 8, ,Easton,Washington,98925,Patrick  Dehuff,plouset@easton.wednet.edu,509.656.2317," Affiliated With District, Public School",P,Other,Public
-122.628341938238577,45.64221779427136,2046,5258,45.6422234667,-122.628356177,06801,Educational Service District 112,06037,Vancouver School District,Vancouver Contracted Programs,9,12,PO BOX 8937, ,VANCOUVER,Washington,98668-8937,Trish Ann Piliado,Trish.Piliado@vansd.org,360.313.1330," Public School, Regular School",P,High School,Public
-118.872705202583333,46.662453896181212,2047,5261,46.6624599996,-118.872718999,11801,Educational Service District 123,11051,North Franklin School District,North Franklin Virtual Academy,K,6,PO Box 829, ,Connell,Washington,99326,Jim  Jacobs,jjacobs@nfsd.org,509.234.2021," Alternative School, Public School",A,Elementary School,Public
-122.073284540837321,47.145514184577166,2048,5338,47.1455199997,-122.073299,17801,Puget Sound Educational Service District 121,27416,White River School District,White River Reengagement Program,9,12,PO Box 2050, ,Buckley,Washington,98321,Michael  Hagadone,mhagadone@whiteriver.wednet.edu,360.829.3817," Public School, Re-Engagement School",R,High School,Public
-122.628341938238577,45.64221779427136,2049,5342,45.6422234667,-122.628356177,06801,Educational Service District 112,06037,Vancouver School District,Open Doors Vancouver,9,12,PO BOX 8937, ,VANCOUVER,Washington,98668-8937,Deanna Lynn Hogan,Deanna.Hogan@vansd.org,360.313.4990," Public School, Re-Engagement School",R,High School,Public
-122.025873552160249,47.164967822531302,2050,5390,47.1649736445,-122.025888008,17801,Puget Sound Educational Service District 121,27416,White River School District,White River Homeschool,K,12,PO Box 2050, ,Buckley,Washington,98321,Mike  Hagadone,mhagadone@whiteriver.wednet.edu,360.829.0600," Not Affiliated With District, Public School",P,K-12,Public
-122.9812918926132,46.727064073841902,2051,5463,46.7270697741,-122.98130641,34801,Capital Region ESD 113,21401,Centralia School District,Early Learning Center,PK,PK,PO BOX 610, ,Centralia,Washington,98531,Kate  Pothier,kpothier@centralia.wednet.edu,360.330.7600," Preschool, Public School",P,PK Only,Public
-117.715468487145387,48.27799532970063,2052,5523,48.27800166,-117.715482417,32801,Educational Service District 101,33036,Chewelah School District,Chewelah Open Doors Reengagement Program,10,13,PO Box 47, ,Chewelah,Washington,99109,Erin  Dell,edell@chewelahk12.us,509.685.6800," Public School, Re-Engagement School",R,High School,Public
-118.605250695545678,48.875227346937542,2053,5530,48.8752336236,-118.605264936,32801,Educational Service District 101,10050,Curlew School District,Ferry County Open Doors,8,12,PO Box 370, ,Curlew,Washington,99118,John  Glenewinkel,jgwinkel@curlew.wednet.edu,509-779-4931," Public School, Re-Engagement School",R,High School,Public
-117.43406782812059,47.709517997450114,2054,2950,47.709524317,-117.434081577,32801,Educational Service District 101,32081,Spokane School District,Ridgeview Elementary,PK,6,5610 N. Maple, ,Spokane,Washington,99205-6798,Melinda  Keberle,MelindaKe@SpokaneSchools.org,509.354.4000," Public School, Regular School",P,Elementary School,Public
-117.4281882945386,47.663446018098838,2055,5113,47.6634523351,-117.428202032,32801,Educational Service District 101,32081,Spokane School District,Spokane Regional Health District,PK,PK,1101 W. College Ave, ,Spokane,Washington,99201, , , ," Preschool, Public School",P,PK Only,Public
-117.980990235457469,47.296155763686933,2056,3050,47.296162,-117.981004,32801,Educational Service District 101,22008,Sprague School District,Sprague Elementary,K,4,PO Box 305, ,Sprague,Washington,99032-0305,William  Ressel,bressel@sprague.wednet.edu,509.257.2511," Public School, Regular School",P,Elementary School,Public
-117.585691355192026,47.087957740121183,2057,3068,47.087964,-117.585705,32801,Educational Service District 101,38322,St. John School District,St John/Endicott High,9,12,W 301 Nob Hill, ,Saint John,Washington,99171-0058,Mark  Purvine,mpurvine@stjohn.wednet.edu,509.648.3336," Public School, Regular School",P,High School,Public
-122.372826241490401,48.245110155483161,2058,5004,48.2451159996,-122.372841001,29801,Northwest Educational Service District 189,31401,Stanwood-Camano School District,Saratoga School,K,12,9307 271st Street NW, ,Stanwood,Washington,98292,MONICA  MCDANIEL,mmcdaniel@stanwood.wednet.edu,360.629.1372," Alternative School, Public School",A,K-12,Public
-120.693138507749538,48.337498973571499,2059,2265,48.337505,-120.693153,04801,North Central Educational Service District 171,04069,Stehekin School District,Stehekin Elementary,K,8,PO Box 37, ,Stehekin,Washington,98852-0037,Ron  Scutt,ronscuttstehekin@aol.com,(509) 670-9193," Public School, Regular School",P,Other,Public
-121.883822872820275,45.695491251498687,2060,1765,45.695497,-121.883837,06801,Educational Service District 112,30303,Stevenson-Carson School District,Preschool,PK,PK,PO Box 850, ,Stevenson,Washington,98648-0850,Karen  Schreiber,schreiberk@scsd303.org,509.427.5672," Public School, Special Education School",S,PK Only,Public
-121.814718869423558,47.865930102772097,2061,1670,47.8659359857,-121.814733446,29801,Northwest Educational Service District 189,31311,Sultan School District,Student Services School,PK,PK,514 4th Street, ,Sultan,Washington,98294-0000,Gayle  Wilson,gayle.wilson@sultan.k12.wa.us,360.793.9801 ext. 1042," Public School, Special Education School",S,PK Only,Public
-122.178030864191214,47.18439797529993,2062,3349,47.184403783,-122.178045349,17801,Puget Sound Educational Service District 121,27320,Sumner School District,Bonney Lake Elementary,PK,5,18715 80th St E, ,Bonney Lake,Washington,98390-0000,Bobbi  Snider,bobbi_snider@sumnersd.org,253.891.4500," Public School, Regular School",P,Elementary School,Public
-122.237383289117957,47.204783852717767,2063,1781,47.2047896551,-122.237397789,17801,Puget Sound Educational Service District 121,27320,Sumner School District,Sumner Special Services,PK,PK,1202 WOOD AVENUE, ,SUMNER,Washington,98390-0000,Keoni  Smith,keoni_smith@sumnersd.org,253.891.6000," Public School, Special Education School",S,PK Only,Public
-122.445953138333479,47.255807552919194,2064,1514,47.255813337,-122.445967683,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Alternative Spcl Needs Div Occ,9,12,601 S 8TH ST, ,TACOMA,Washington,98405-4614,John  Goebel,jgoebel@tacoma.k12.wa.us,(253) 571-1040," Public School, Special Education School",S,High School,Public
-122.446930223286827,47.256361002646351,2065,1585,47.2563667866,-122.446944769,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Comm Based Trans Program,11,12,601 S 8th St, ,Tacoma,Washington,98405-0000,Betsy  Minor-Reid,bminnor@tacoma.k12.wa.us,253.571.1145," Public School, Special Education School",S,High School,Public
-122.510351835249693,47.255477820895209,2066,1797,47.2554835978,-122.510366391,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Day Reporting School,9,12,5501 6th Avenue, ,Tacoma,Washington,98406-0000,Greg  Eisnaugle,geisnau@tacoma.k12.wa.us,253.571.2670," Alternative School, Public School",A,High School,Public
-122.505862738217616,47.270095091950168,2067,2747,47.270100871,-122.505877297,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Downing,PK,5,2502 N Orchard St, ,Tacoma,Washington,98406-0000,Olga  Manos,omanos@tacoma.k12.wa.us,253.571.7133," Public School, Regular School",P,Elementary School,Public
-122.495413652039858,47.261091831449413,2068,2103,47.261097611,-122.495428206,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Jefferson,PK,5,6501 N 23rd St, ,Tacoma,Washington,98406-0000,Avance  Byrd,abyrd@tacoma.k12.wa.us,253.571.2261," Public School, Regular School",P,Elementary School,Public
-122.485745309365512,47.23052472326593,2069,4109,47.230530502,-122.485759856,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Oakland High School,9,12,3319 S Adams St, ,Tacoma,Washington,98409-0000,John  Jones,jjones@tacoma.k12.wa.us,253.571.5102," Alternative School, Public School",A,High School,Public
-122.515420590542305,47.253189016639894,2070,4283,47.2531947929,-122.515435146,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Pearl Street Center,6,12,815 S Pearl St, ,Tacoma,Washington,98465-0000,Betsy  Minor-Reid,bminnor@tacoma.k12.wa.us,253.571.2600," Public School, Special Education School",S,Other,Public
-122.510950821348757,47.301880363750136,2071,5169,47.301886144,-122.510965388,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Science and Math Institute,9,12,5501 N. Pearl St, ,Tacoma,Washington,98407,Jon   Ketler,jketler@tacoma.k12.wa.us,253.571.2300," Public School, Regular School",P,High School,Public
-122.44693422742921,47.255676520831983,2072,5192,47.2556823048,-122.446948773,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Special Services,PK,12,601 S. 8th Street, ,Tacoma,Washington,98405,Barbara   O'Rorke,bororke@tacoma.k12.wa.us,253.571.1224," Alternative School, Public School",A,PK-12,Public
-122.446520124433874,47.252288378116695,2073,5183,47.2522941621,-122.446534669,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Tacoma Business Academy,9,12,601 S 8th Street,c/o John Page/Annex Bldg.,Tacoma,Washington,98405,Rue  Palmer,rpalmer@tacoma.k12.wa.us,253.571.1126," Alternative School, Public School",A,High School,Public
-122.445953138333479,47.255807552919194,2074,5184,47.255813337,-122.445967683,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Tacoma Pierce County Education Center,9,12,601 S 8th street,c/o Miguel Villahermosa,Tacoma,Washington,98405, , , ," Adult Jail, Affiliated With District, Public School",J,High School,Public
-122.436919955400995,47.243594948815186,2075,1860,47.243600733,-122.436934497,17801,Puget Sound Educational Service District 121,27010,Tacoma School District,Tacoma School of the Arts,10,12,PO Box 1357, ,Tacoma,Washington,98402-0000,Jon  Ketler,jketler@tacoma.k12.wa.us,253.571.7900," Public School, Regular School",P,High School,Public
-124.28740214002103,47.344186401117284,2076,5032,47.344192,-124.287417,34801,Capital Region ESD 113,14077,Taholah School District,Taholah Elementary & Middle School,K,8,PO Box 249, ,Taholah,Washington,98587-0249,Patricia  Larriva,plarriva@taholah.org,360.276.4780," Public School, Regular School",P,Other,Public
-122.847295474331361,46.862244279009964,2077,4238,46.86225,-122.84731,34801,Capital Region ESD 113,34402,Tenino School District,Tenino Elementary School,3,5,PO Box 4024, ,Tenino,Washington,98589-4024,Charly  Harrington,harringtonc@tenino.k12.wa.us,360.264.3720," Public School, Regular School",P,Elementary School,Public
-122.848946665614648,46.440683832422195,2078,5190,46.44068953,-122.848961102,34801,Capital Region ESD 113,21237,Toledo School District,Cowlitz Prairie Academy,7,12,PO Box 469, ,Toledo,Washington,98591,MARTIN  HUFFMAN,mhuffman@toledo.k12.wa.us,360.864.6325," Affiliated With District, Public School",P,Other,Public
-119.4324252596832,48.702254310796846,2079,3176,48.702260491,-119.432439612,04801,North Central Educational Service District 171,24404,Tonasket School District,Tonasket Elementary School,PK,5,35ES HIGHWAY 20, ,TONASKET,Washington,98855-0000,Lilly  Martin,lmartin@tonasket.wednet.edu,509.486.4933," Public School, Regular School",P,Elementary School,Public
-119.434357035099964,48.701700522047602,2080,4196,48.701706702,-119.434371387,04801,North Central Educational Service District 171,24404,Tonasket School District,Tonasket Middle School,6,8,35MS HIGHWAY 20, ,TONASKET,Washington,98855-0000,Kristi  Krieg,kkrieg@tonasket.wednet.edu,509.486.2147," Public School, Regular School",P,Middle School,Public
-120.334011000757258,46.381531057269846,2081,1508,46.3815370003,-120.334025001,39801,Educational Service District 105,39202,Toppenish School District,Computer Academy Toppenish High School,6,12,143 WARD RD, ,TOPPENISH,Washington,98948-1000,Enrique  Romero,eromero@toppenish.wednet.edu,509.865.3377," Alternative School, Public School",A,Other,Public
-122.740705470403896,46.324145022322391,2082,4264,46.324150724,-122.740719865,06801,Educational Service District 112,08130,Toutle Lake School District,Toutle Lake Elementary,K,6,5050 Spirit Lake Hwy, ,Toutle,Washington,98649-9701,Vicky  Frandsen,vicky.frandsen@toutlesd.k12.wa.us,360.274.6142 ext.2002," Public School, Regular School",P,Elementary School,Public
-121.515696876516955,45.989174197858411,2083,3062,45.98918,-121.515711,06801,Educational Service District 112,20400,Trout Lake School District,Trout Lake Elementary,K,4,PO Box 488, ,Trout Lake,Washington,98650-0488,Douglas  Dearden,d.dearden@tlschool.net,509.395.2571," Public School, Regular School",P,Elementary School,Public
-122.913668438253751,46.982399278344133,2084,5014,46.982405,-122.913683,34801,Capital Region ESD 113,34033,Tumwater School District,New Market High School,10,12,7299 New Market Street SW, ,Tumwater,Washington,98501,Kris  Blum,kris.blum@newmarketskills.com,360.570.4500," Alternative School, Public School",A,High School,Public
-122.948088433577439,46.978214282888139,2085,1713,46.97822,-122.948103,34801,Capital Region ESD 113,34033,Tumwater School District,Secondary Options,8,12,7741 Littlerock Road SW, ,Olympia,Washington,98512-0000,Dave  Meyers,dave.meyers@tumwater.k12.wa.us,360.709.7760," Alternative School, Public School",A,High School,Public
-117.721266093234192,48.169388678006598,2086,1932,48.169395,-117.72128,32801,Educational Service District 101,33070,Valley School District,Columbia Virtual Academy,K,8,3030 Huffman Road, ,Valley,Washington,99181,Dave  Vail,Dave.Vail@cva.org,509.937.2753," Alternative School, Public School",A,K-12,Public
-122.639165761195514,45.635974328845712,2087,1738,45.63598,-122.63918,06801,Educational Service District 112,06037,Vancouver School District,Gate Program,12,12,3100 E 18TH ST, ,VANCOUVER,Washington,98661-5645,Jeremy  Berliss,Jeremy.Berliss@vansd.org,360.313.1800," Public School, Special Education School",S,High School,Public
-122.620616150597357,45.642581098204886,2088,3932,45.642586772,-122.620630388,06801,Educational Service District 112,06037,Vancouver School District,Lewis and Clark High School,9,12,2901 GENERAL ANDERSON AVE, ,VANCOUVER,Washington,98661-6181,Steven D Lindblom,steve.lindblom@vansd.org,360.313.4350," Public School, Regular School",P,High School,Public
