ESDCode,ESDName,LEACode,LEAName,SchoolCode,SchoolName,LowestGrade,HighestGrade,AddressLine1,AddressLine2,City,State,ZipCode,PrincipalName,Email,Phone,OrgCategoryList,AYPCode,GradeCategory
39801,Educational Service District 105,39207,Wapato School District,4518,Adams Elementary,3,5,1309 S Camas Ave,,Wapato,Washington,98951-9790,BENJAMIN THOMAS NEWELL,BenNe@wapatosd.org,509.877.4180," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39208,West Valley School District (Yakima),2505,Wide Hollow Elementary,K ,4,1000 S 72nd Ave,,Yakima,Washington,98908-1857,RICHARD  FERGUSON,fergusonr@wvsd208.org,509.972.5550," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39208,West Valley School District (Yakima),2758,Mountainview Elementary,K ,4,830 Stone Rd,,Yakima,Washington,98908-9115,NICHOLAS  HARTMAN,hartmann@wvsd208.org,509.972.5530," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39208,West Valley School District (Yakima),2822,Ahtanum Valley Elementary,K ,4,3006 S Wiley Rd,,Yakima,Washington,98908-9743,Richard D Pryor,pryorr@wvsd208.org,509.965.2031," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39208,West Valley School District (Yakima),3074,West Valley High School,9,12,9800 Zier Rd,,Yakima,Washington,98908-9243,BEN  MCMURRY,mcmurryb@wvsd208.org,509.972.5906," Public School, Regular School",P,High School
39801,Educational Service District 105,39208,West Valley School District (Yakima),3207,Summitview Elementary,K ,4,6305 W Chestnut Ave,,Yakima,Washington,98908-3131,EVA  Lust-Wright,luste@wvsd208.org,509.972.5540," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39208,West Valley School District (Yakima),3699,Apple Valley Elementary,K ,4,7 N 88th Avenue,,Yakima,Washington,98908-1408,Heidi Sue Sutton,suttonh@wvsd208.org,509.965.2060," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39208,West Valley School District (Yakima),4040,West Valley Jr High,7,8,7505 Zier Rd,,Yakima,Washington,98908-2077,RUSS  TUMAN,tumanr@wvsd208.org,509.972.5800," Public School, Regular School",P,High School
39801,Educational Service District 105,39208,West Valley School District (Yakima),4448,Cottonwood Elementary School,K ,4,1041 S 96th Ave,,Yakima,Washington,98908-9746,STACEY  DRAKE,drakes@wvsd208.org,509.972.5520," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39208,West Valley School District (Yakima),4506,West Valley Middle School,5,6,1500 S 75th Ave,,Yakima,Washington,98908-5726,Russ  Tuman,tumanr@wvsd208.org,509.972.5700," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39209,Mount Adams School District,2389,Mount Adams Middle School,7,8,P.O. Box 578,,White Swan,Washington,98952-0578,Tracey  Smith,tsmith@masd209.org,509.874.2324," Public School, Regular School",P,Middle School
39801,Educational Service District 105,39209,Mount Adams School District,2506,Harrah Elementary School,PK,6,P.O. Box 159,,Harrah,Washington,98933-9998,Robert  McCracken,rmccracken@masd209.org,509.848.5700," Public School, Regular School",P,Elementary School
39801,Educational Service District 105,39209,Mount Adams School District,2532,White Swan High School,9,12,P.O. Box 578,,White Swan,Washington,98952-0578,Tracey  Smith,tsmith@masd209.org,509.874.2324," Public School, Regular School",P,High School
32801,Educational Service District 101,33183,Loon Lake School District,1922,Loon Lake Homelink Program,K ,8,4001 Maple Street,,Loon Lake,Washington,99148-9761,Brad  Van Dyne,bvandyne@loonlakeschool.org,509.233.8185," Alternative School, Public School",A,Other
29801,Northwest Educational Service District 189,31025,Marysville School District,1910,Marysville SD Special,PK,13,4220 80th St NE,,Marysville,Washington,98270-3498,Ginger  Merkel,ginger_merkel@msd25.org,360.965.0174," Public School, Special Education School",S,PK-12
32801,Educational Service District 101,32416,Riverside School District,1919,Independent Scholar,K ,12,34515 N. Newport Highway,,Chattaroy,Washington,99003-9734,Kristy  Misiaszek,kristy.misiaszek@rsdmail.org,509.464.8478," Alternative School, Public School",A,K-12
29801,Northwest Educational Service District 189,31201,Snohomish School District,1904,Parent Partnership,K ,12,525 13th Street,,Snohomish,Washington,98290-0000,June  Shirey,june.shirey@sno.wednet.edu,(360) 563-7289," Alternative School, Public School",A,K-12
17801,Puget Sound Educational Service District 121,17415,Kent School District,4581,Millennium Elementary School,PK,6,11919 SE 270th ST,,Kent,Washington,98030-8638,Tracie  Watson,Tracie.Watson@kent.k12.wa.us,253.373.3900," Public School, Regular School",P,Elementary School
32801,Educational Service District 101,33070,Valley School District,1932,Columbia Virtual Academy,K ,8,3030 Huffman Road,,Valley,Washington,99181,Dave  Vail,Dave.Vail@cva.org,509.937.2753," Alternative School, Public School",A,K-12
06801,Educational Service District 112,08458,Kelso School District,1934,Loowit High School,9,12,2001 Allen St,,Kelso,Washington,98626-0000,Rob L Birdsell,rob.birdsell@kelsosd.org,360.501.1840," Alternative School, Public School",A,High School
17801,Puget Sound Educational Service District 121,18303,Bainbridge Island School District,1935,Eagle Harbor High School,9,12,9530 NE High School Rd,,Bainbridge Island,Washington,98110-0000,David  Shockley,dshockley@bisd303.org,206.780.1387," Alternative School, Public School",A,High School
32801,Educational Service District 101,33049,Wellpinit School District,2549,Wellpinit Elementary School,K ,5,PO Box 390,,Wellpinit,Washington,99040-0390,Kim  Ewing,kewing@wellpinit.org,509.258.4535," Public School, Regular School",P,Elementary School
06801,Educational Service District 112,06114,Evergreen School District (Clark),1926,Home Choice Academy,K ,12,13501 NE 28th Street,,Vancouver,Washington,98682-8091,Janet  Locascio,Janet.Locascio@evergreenps.org,360.604.4032," Alternative School, Public School",A,K-12
34801,Capital Region ESD 113,21301,Pe Ell School District,1925,Trojan Alternative School,9,12,P.O. Box 368,,Pe Ell,Washington,98572-0368,F. Patrick Meehan,pmeehan@peell.k12.wa.us,(360) 291-3244," Alternative School, Public School",A,High School
34801,Capital Region ESD 113,23309,Shelton School District,4586,Olympic Middle School,5,6,800 E K St,,Shelton,Washington,98584,Carey  Murray,cmurray@sheltonschools.org,360.462.6671," Public School, Regular School",P,Elementary School
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,4575,Angelo Giaudrone Middle School,6,8,4902 S Alaska St,,Tacoma,Washington,98408-0000,William  Harris,wharri1@tacoma.k12.wa.us,253.571.5811," Public School, Regular School",P,Middle School
29801,Northwest Educational Service District 189,29100,Burlington-Edison School District,1928,Burlington-Edison Alternative School,9,12,301 N Burlington Blvd,,Burlington,Washington,98233-2298,Todd  Setterlund,tsetterlund@be.wednet.edu,360.757.4074," Alternative School, Public School",A,High School
29801,Northwest Educational Service District 189,31025,Marysville School District,1927,Legacy High School,9,12,7204 27th Ave NE,,Marysville,Washington,98271,Raymond  Houser,raymond_houser@msd25.org,360.965.3000," Public School, Regular School",P,High School
06801,Educational Service District 112,06114,Evergreen School District (Clark),4579,York Elementary School,PK,5,9301 NE 152nd Avenue,,Vancouver,Washington,98682-2744,Dawn  Harris,Dawn.Harris@evergreenps.org,360.604.3975," Public School, Regular School",P,Elementary School
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,3496,Interagency Detention School,6,12,1211 E ALDER  MS 1-F,,SEATTLE,Washington,98122-5553,Kaaren  Andrews,klandrews@seattleschools.org,206.252.6816, Detention Center,J,Other
OSPI,Office of Superintendent of Public Instruction,32801,Educational Service District 101,3526,Spokane Juvenile Detention School,6,12,1208 Mallen St.,,Spokane,Washington,99205-0128,Larry  Gardner,,(509) 447-2451, Detention Center,J,Other
OSPI,Office of Superintendent of Public Instruction,32801,Educational Service District 101,3507,Structural Alt Confinement School,8,12,1208 W. Mallen St.,,Spokane,Washington,99205-0320,Larry  Gardner,,(509) 447-2451," Alternative School, Public School",A,High School
04801,North Central Educational Service District 171,09075,Bridgeport School District,1900,Bridgeport Aurora High School,9,12,P.O. BOX 1060,,Bridgeport,Washington,98813-1060,Tamra  Jacskon,tjackson@bridgeport.wednet.edu,509.686.8770," Alternative School, Public School",A,High School
29801,Northwest Educational Service District 189,31002,Everett School District,1907,Port Gardner,K ,12,3516 Rucker Ave.,,Everett,Washington,98201-4629,Kelly  Shepherd,kshepherd@everettsd.org,425.385.5100," Alternative School, Public School",A,K-12
29801,Northwest Educational Service District 189,37504,Lynden School District,1914,Lynden Special Services,PK,PK,205 S BC AVE STE 115,,LYNDEN,Washington,98264-0000,Tim   Metz,metzt@lynden.wednet.edu,360.354.2893," Public School, Special Education School",S,PK Only
17801,Puget Sound Educational Service District 121,17408,Auburn School District,1915,Special Ed School,PK,12,502 4TH ST NE,,AUBURN,Washington,98002-5020,Tami  Petrina,tpetrina@auburn.wednet.edu,253.931.4927," Public School, Special Education School",S,PK-12
