X,Y,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL_,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER,SHELTER_ID
-119.9975366,46.32297005,562,5.30867E+11,SUNNYSIDE HIGH SCHOOL,1801 E. EDISON AVENUE,SUNNYSIDE,WA,98944,2197,(509) 837-2601,1,1,1997,YAKIMA,53077,USA,46.32297005,-119.9975366,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530867001449,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2011-11-08T00:00:00.000Z,NOT AVAILABLE,3,1912,9,12,5308670,85,NOT AVAILABLE
-117.1942658,47.70259252,613,5.30228E+11,EAST VALLEY HIGH SCHOOL,15711 E WELLESLEY AVE,SPOKANE VALLEY,WA,99216,1596,(509) 927-3200,1,1,1133,SPOKANE,53063,USA,47.70259252,-117.1942658,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530228000312,2009-12-10T00:00:00.000Z,IMAGERY/OTHER,2010-07-12T00:00:00.000Z,NOT AVAILABLE,3,1075,9,12,5302280,58,10801780
-122.5593293,47.18157926,657,5.30141E+11,FIRWOOD,8805 STEILACOOM BLVD SW,STEILACOOM,WA,98498,4771,(253) 583-5416,1,1,41,PIERCE,53053,USA,47.18157926,-122.5593293,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530141000271,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2016-10-27T00:00:00.000Z,NOT AVAILABLE,4,37,4,12,5301410,4,NOT AVAILABLE
-117.4825736,47.74612085,705,5.30825E+11,WOODRIDGE ELEMENTARY,5100 W SHAWNEE AVE,SPOKANE,WA,99208,8651,(509) 354-4600,1,1,497,SPOKANE,53063,USA,47.74612085,-117.4825736,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530825001883,2009-12-10T00:00:00.000Z,IMAGERY/OTHER,2016-10-27T00:00:00.000Z,NOT AVAILABLE,1,471,PK,6,5308250,26,NOT AVAILABLE
-122.2694142,47.8943706,714,5.30543E+11,FAIRMOUNT ELEMENTARY,11401 BEVERLY PARK RD,EVERETT,WA,98204,3514,(425) 366-2900,1,1,793,SNOHOMISH,53061,USA,47.8943706,-122.2694142,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530543000816,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2010-08-12T00:00:00.000Z,NOT AVAILABLE,1,752,KG,5,5305430,41,NOT AVAILABLE
-122.2732663,47.16651864,765,5.30696E+11,WILDWOOD ELEMENTARY,1601 26TH AVE SE,PUYALLUP,WA,98374,1349,(253) 841-8746,1,1,512,PIERCE,53053,USA,47.16651864,-122.2732663,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530696001043,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2010-08-09T00:00:00.000Z,NOT AVAILABLE,1,485,PK,6,5306960,27,NOT AVAILABLE
-118.972836,47.97016257,775,5.30313E+11,LAKE ROOSEVELT ALTERNATIVE SCHOOL,500 CIVIC WAY,COULEE DAM,WA,99116,NOT AVAILABLE,(866) 689-1932,4,1,12,OKANOGAN,53047,USA,47.97016257,-118.972836,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530313003448,2016-01-05T00:00:00.000Z,IMAGERY,2016-01-06T00:00:00.000Z,NOT AVAILABLE,4,12,KG,12,5303130,-1,NOT AVAILABLE
-122.973819,46.16599163,793,5.30447E+11,MINT VALLEY ELEMENTARY,2745 38TH AVENUE,LONGVIEW,WA,98632,4721,(360) 575-7581,1,1,431,COWLITZ,53015,USA,46.16599163,-122.973819,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530447000704,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2010-08-03T00:00:00.000Z,NOT AVAILABLE,1,403,KG,5,5304470,28,NOT AVAILABLE
-122.2858577,47.05542634,884,5.30048E+11,NELSON ELEMENTARY SCHOOL,22109 108TH AVE E,GRAHAM,WA,98375,NOT AVAILABLE,(253) 683-6000,1,1,609,PIERCE,53053,USA,47.05542634,-122.2858577,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530048003288,2011-09-30T00:00:00.000Z,IMAGERY,2011-09-30T00:00:00.000Z,NOT AVAILABLE,1,575,PK,5,5300480,34,NOT AVAILABLE
-122.3454991,47.01978906,933,5.30048E+11,ROCKY RIDGE ELEMENTARY,6514 260TH STREET EAST,GRAHAM,WA,98338,9648,(253) 683-5000,1,1,518,PIERCE,53053,USA,47.01978906,-122.3454991,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530048001925,2009-12-10T00:00:00.000Z,IMAGERY/OTHER,2010-08-09T00:00:00.000Z,http://rr.bethelsd.org,1,488,KG,5,5300480,30,10796799
-120.5258777,46.59140069,942,5.31011E+11,MCKINLEY ELEMENTARY SCHOOL,621 S 13TH AVE,YAKIMA,WA,98902,4320,(509) 573-1401,1,1,495,YAKIMA,53077,USA,46.59140069,-120.5258777,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=531011001700,2010-01-29T00:00:00.000Z,IMAGERY/OTHER,2010-08-03T00:00:00.000Z,NOT AVAILABLE,1,470,KG,5,5310110,25,NOT AVAILABLE
-122.5221173,47.63997836,952,5.30033E+11,ORDWAY ELEMENTARY,8555 MADISON AVE NE,BAINBRIDGE ISLAND,WA,98110,2915,(206) 780-1470,1,1,424,KITSAP,53035,USA,47.63997836,-122.5221173,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530033000047,2009-12-10T00:00:00.000Z,IMAGERY/OTHER,2016-10-27T00:00:00.000Z,NOT AVAILABLE,1,400,PK,5,5300330,24,10812169
-117.7215502,48.16964754,953,5.30924E+11,COLUMBIA VIRTUAL ACADEMY,3030 HUFFMAN ROAD,VALLEY,WA,99181,NOT AVAILABLE,(509) 937-4663,4,1,437,STEVENS,53065,USA,48.16964754,-117.7215502,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530924003107,2010-01-29T00:00:00.000Z,IMAGERY/OTHER,2013-02-27T00:00:00.000Z,http://www.cva.org,1,425,KG,8,5309240,12,10778701
-120.3150841,47.4221251,4413,5.30966E+11,CHELAN COUNTY JUVENILE DETENTION CENTER,316 WASHINGTON ST,WENATCHEE,WA,98801,NOT AVAILABLE,(509) 664-5552,1,1,9,CHELAN,53007,USA,47.4221251,-120.3150841,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530966002706,2010-01-29T00:00:00.000Z,IMAGERY/OTHER,2019-01-09T00:00:00.000Z,NOT AVAILABLE,4,8,3,12,5309660,1,NOT AVAILABLE
-118.3524329,46.05660815,4414,5.30945E+11,BLUE RIDGE ELEMENTARY,1150 W CHESTNUT ST,WALLA WALLA,WA,99362,3971,(509) 527-3066,1,1,383,WALLA WALLA,53071,USA,46.05660815,-118.3524329,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530945001891,2009-10-13T00:00:00.000Z,UNVERIFIED,2019-01-09T00:00:00.000Z,NOT AVAILABLE,1,350,PK,5,5309450,33,10806600
-122.315496,47.60113014,4415,5.30771E+11,BAILEY GATZERT ELEMENTARY SCHOOL,1301 E YESLER WY,SEATTLE,WA,98122,5430,(206) 252-2810,1,1,327,KING,53033,USA,47.60113014,-122.315496,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530771001173,2009-12-10T00:00:00.000Z,IMAGERY/OTHER,2019-01-09T00:00:00.000Z,NOT AVAILABLE,1,299,PK,5,5307710,28,NOT AVAILABLE
-120.3819194,46.55062915,4416,5.30537E+11,MOXEE ELEMENTARY,528 E. SEATTLE AVENUE,MOXEE,WA,98936,NOT AVAILABLE,(509) 573-7700,1,1,521,YAKIMA,53077,USA,46.55062915,-120.3819194,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530537000807,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2019-01-09T00:00:00.000Z,NOT AVAILABLE,1,493,PK,5,5305370,28,NOT AVAILABLE
-119.219245,46.22162182,4417,5.30393E+11,BENTON COUNTY JAIL,7122 W OKANOGAN PLACE,KENNEWICK,WA,99337,NOT AVAILABLE,(509) 222-6522,1,1,0,BENTON,53005,USA,46.22162182,-119.2192451,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530393003352,2014-02-04T00:00:00.000Z,IMAGERY/OTHER,2019-01-10T00:00:00.000Z,NOT AVAILABLE,3,0,9,12,5303930,-1,NOT AVAILABLE
-119.1951369,46.17902209,4440,5.30393E+11,SOUTHRIDGE HIGH SCHOOL,3320 SOUTHRIDGE BOULEVARD,KENNEWICK,WA,99338,1976,(509) 734-3800,1,1,1756,BENTON,53005,USA,46.17902209,-119.1951369,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530393002009,2010-01-29T00:00:00.000Z,IMAGERY/OTHER,2019-01-10T00:00:00.000Z,http://www.ksd.org/schools/secondary/Southridge,3,1685,9,12,5303930,71,NOT AVAILABLE
-122.3454718,47.50047006,4441,5.30354E+11,HEALTH SCIENCES & HUMAN SERVICES,830 SW 116TH ST,SEATTLE,WA,98146,2257,(206) 631-6200,1,1,391,KING,53033,USA,47.50047006,-122.3454718,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530354003164,2010-01-29T00:00:00.000Z,IMAGERY/OTHER,2019-01-10T00:00:00.000Z,NOT AVAILABLE,3,373,9,12,5303540,18,NOT AVAILABLE
-119.293722,47.61401249,4442,5.30344E+11,ALMIRA COULEE HARTLINE HIGH SCHOOL,413 N. 4TH STREET,COULEE CITY,WA,99115,NOT AVAILABLE,(509) 632-5231,1,1,90,GRANT,53025,USA,47.61401249,-119.293722,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530344000514,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2019-01-10T00:00:00.000Z,www.achsd.org,3,83,9,12,5303440,7,NOT AVAILABLE
-122.5501071,45.64177632,4443,5.3027E+11,ENDEAVOUR ELEMENTARY SCHOOL,2701 NE FOUR SEASONS LANE,VANCOUVER,WA,98684,NOT AVAILABLE,(360) 604-4920,1,1,734,CLARK,53011,USA,45.64177632,-122.5501071,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530270003241,2011-09-30T00:00:00.000Z,IMAGERY/OTHER,2019-01-10T00:00:00.000Z,NOT AVAILABLE,1,695,PK,5,5302700,39,NOT AVAILABLE
-122.7781705,48.01213312,4444,5.30129E+11,PI PROGRAM,91 WEST VALLEY RD,CHIMACUM,WA,98325,278,(360) 732-4471,4,1,80,JEFFERSON,53031,USA,48.01213312,-122.7781705,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530129002630,2010-01-29T00:00:00.000Z,IMAGERY/OTHER,2019-01-10T00:00:00.000Z,http://pi.ptserv.net/cgi-bin/index.pl,4,76,KG,12,5301290,4,10807186
-122.4408933,45.61056972,4445,5.30081E+11,GRASS VALLEY ELEMENTARY,3000 NE GRASS VALLEY DR,CAMAS,WA,98607,NOT AVAILABLE,(360) 833-5710,1,1,566,CLARK,53011,USA,45.61056972,-122.4408933,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530081003312,2011-09-30T00:00:00.000Z,IMAGERY/OTHER,2019-01-10T00:00:00.000Z,NOT AVAILABLE,1,539,KG,5,5300810,27,NOT AVAILABLE
-122.5458816,45.79083318,4446,5.30038E+11,CAM ACADEMY,715 NW ONSDORFF BLVD.,BATTLE GROUND,WA,98604,200,(360) 885-6800,4,1,597,CLARK,53011,USA,45.79083318,-122.5458816,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530038002782,2010-01-29T00:00:00.000Z,IMAGERY/OTHER,2019-01-10T00:00:00.000Z,NOT AVAILABLE,4,577,3,12,5300380,20,NOT AVAILABLE
-122.1898806,47.77699635,4493,5.30591E+11,NORTHSHORE PRIMARY CENTER,3301 MONTE VILLA PARKWAY #200,BOTHELL,WA,98021,NOT AVAILABLE,(425) 408-6000,1,7,-999,SNOHOMISH,53061,USA,47.77699635,-122.1898806,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530591003573,2018-10-29T00:00:00.000Z,IMAGERY/OTHER,2018-10-30T00:00:00.000Z,www.nsd.org,N,-999,N,N,5305910,-999,NOT AVAILABLE
-122.6005822,48.86006311,4494,5.30285E+11,FERNDALE RE-ENGAGEMENT,6041 VISTA DRIVE,FERNDALE,WA,98248,NOT AVAILABLE,(360) 604-4005,1,7,-999,WHATCOM,53073,USA,48.86006311,-122.6005822,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530285003576,2018-10-29T00:00:00.000Z,IMAGERY/OTHER,2018-10-30T00:00:00.000Z,NOT AVAILABLE,N,-999,N,N,5302850,-999,NOT AVAILABLE
-123.4325325,47.19937197,4495,5.3048E+11,MARY M. KNIGHT SCHOOL,2987 W MATLOCK BRADY RD,ELMA,WA,98541,NOT AVAILABLE,(360) 604-4005,1,7,-999,MASON,53045,USA,47.19937197,-123.4325325,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530480003571,2018-10-29T00:00:00.000Z,IMAGERY,2018-10-30T00:00:00.000Z,NOT AVAILABLE,N,-999,N,N,5304800,-999,NOT AVAILABLE
-122.1932589,47.36658495,4519,5.30396E+11,THE OUTREACH PROGRAM,11000 SE 264TH ST,KENT,WA,98030,NOT AVAILABLE,(360) 604-4005,2,7,-999,KING,53033,USA,47.36658495,-122.1932589,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530396003564,2018-10-29T00:00:00.000Z,IMAGERY/OTHER,2018-10-30T00:00:00.000Z,NOT AVAILABLE,N,-999,N,N,5303960,-999,NOT AVAILABLE
-122.5128798,48.76574328,4520,5.30501E+11,MERIDIAN IMPACT RE-ENGAGEMENT,3028 LINDBERGH AVE,BELLINGHAM,WA,98225,NOT AVAILABLE,(360) 318-2280,1,7,-999,WHATCOM,53073,USA,48.76574328,-122.5128798,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530501003563,2018-10-29T00:00:00.000Z,IMAGERY/OTHER,2018-10-30T00:00:00.000Z,http://www.meridian.wednet.edu,N,-999,N,N,5305010,-999,NOT AVAILABLE
-122.3113356,48.43598078,4521,5.3054E+11,MOUNT VERNON OPEN DOORS,2405 E COLLEGE WAY,MOUNT VERNON,WA,98273,NOT AVAILABLE,(360) 604-4005,1,7,-999,SKAGIT,53057,USA,48.43598078,-122.3113356,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530540003579,2018-10-29T00:00:00.000Z,IMAGERY/OTHER,2018-10-30T00:00:00.000Z,NOT AVAILABLE,N,-999,N,N,5305400,-999,NOT AVAILABLE
-117.2385017,47.68477466,4522,5.30228E+11,EV PARENT PARTNERSHIP,12325 E GRACE AVE,SPOKANE VALLEY,WA,99216,NOT AVAILABLE,(360) 604-4005,1,7,-999,SPOKANE,53063,USA,47.68477466,-117.2385017,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530228003582,2018-10-29T00:00:00.000Z,IMAGERY/OTHER,2018-10-30T00:00:00.000Z,NOT AVAILABLE,N,-999,N,N,5302280,-999,NOT AVAILABLE
-122.484664,47.27249629,4523,5.3087E+11,HOYT EARLY LEARNING CENTER,2708 N UNION AVENUE,TACOMA,WA,98407,NOT AVAILABLE,(360) 604-4005,1,7,-999,PIERCE,53053,USA,47.27249629,-122.484664,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530870003578,2018-10-29T00:00:00.000Z,IMAGERY,2018-10-30T00:00:00.000Z,NOT AVAILABLE,N,-999,N,N,5308700,-999,NOT AVAILABLE
-119.2059803,46.1975349,4524,5.30393E+11,CHINOOK MIDDLE SCHOOL,6011 W 10TH PLACE,KENNEWICK,WA,99338,NOT AVAILABLE,(360) 604-4005,1,7,-999,BENTON,53005,USA,46.1975349,-119.2059803,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530393003586,2018-10-29T00:00:00.000Z,IMAGERY,2018-10-30T00:00:00.000Z,NOT AVAILABLE,N,-999,N,N,5303930,-999,NOT AVAILABLE
-122.9046942,46.98317073,4525,5.3048E+11,WASHINGTON CONNECTIONS ACADEMY,111 TUMWATER BOULEVARD SE,TUMWATER,WA,98501,NOT AVAILABLE,(360) 604-4005,1,7,-999,THURSTON,53067,USA,46.98317073,-122.9046942,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530480003569,2018-10-29T00:00:00.000Z,IMAGERY/OTHER,2018-10-30T00:00:00.000Z,NOT AVAILABLE,N,-999,N,N,5304800,-999,NOT AVAILABLE
-122.2637156,46.86999826,4681,5.30237E+11,EATONVILLE ELEMENTARY SCHOOL,209 LYNCH CREEK RD,EATONVILLE,WA,98328,669,(360) 879-1600,1,1,382,PIERCE,53053,USA,46.86999826,-122.2637156,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530237000326,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2019-01-17T00:00:00.000Z,NOT AVAILABLE,1,364,PK,5,5302370,18,10796753
-122.5351942,47.25444619,4758,5.3087E+11,GEIGER,7401 S 8TH ST,TACOMA,WA,98465,NOT AVAILABLE,(253) 571-6800,1,1,449,PIERCE,53053,USA,47.25444619,-122.5351942,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530870001469,2009-12-10T00:00:00.000Z,IMAGERY/OTHER,2019-01-24T00:00:00.000Z,NOT AVAILABLE,1,426,PK,5,5308700,23,10794533
-121.9299304,46.53667628,4865,5.30975E+11,WHITE PASS JR. SR. HIGH SCHOOL,516 SILVERBROOK ROAD,RANDLE,WA,98377,NOT AVAILABLE,(360) 497-5816,1,1,241,LEWIS,53041,USA,46.53667628,-121.9299304,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530975001659,2009-10-13T00:00:00.000Z,IMAGERY/OTHER,2019-01-28T00:00:00.000Z,http://www.whitepass.k12.wa.us,3,228,7,12,5309750,13,10780971
-122.0573254,47.3316607,4909,5.30396E+11,KENTLAKE HIGH SCHOOL,21401 SE FALCON WAY,KENT,WA,98042,5939,(253) 373-4900,1,1,1569,KING,53033,USA,47.3316607,-122.0573254,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=530396002570,2009-12-10T00:00:00.000Z,IMAGERY/OTHER,2019-01-30T00:00:00.000Z,NOT AVAILABLE,3,1500,9,12,5303960,69,NOT AVAILABLE
