LEACode,LEAName,SchoolCode,SchoolName,LowestGrade,HighestGrade,PrincipalName,Email,Phone,OrgCategoryList,GradeCategory,City
39203,Highland School District,4559,Highland High School,9,12,Brandon  Jensen,bjensen@highland.wednet.edu,509.678.8805," Public School, Regular School",High School,Cowiche
39204,Granger School District,3314,Granger High School,9,12,James  West,westj@gsd.wednet.edu,509.854.1115 ext. 3115," Public School, Regular School",High School,Granger
39205,Zillah School District,2240,Zillah High School,9,12,Mike  Torres,mike.torres@zillahschools.org,509.829.5565," Public School, Regular School",High School,Zillah
39207,Wapato School District,3141,Wapato High School,9,12,David  Blakney,DavidB@wapatosd.org,509.877.3138," Public School, Regular School",High School,Wapato
39208,West Valley School District (Yakima),3074,West Valley High School,9,12,BEN  MCMURRY,mcmurryb@wvsd208.org,509.972.5906," Public School, Regular School",High School,Yakima
39208,West Valley School District (Yakima),4040,West Valley Jr High,7,8,RUSS  TUMAN,tumanr@wvsd208.org,509.972.5800," Public School, Regular School",High School,Yakima
39209,Mount Adams School District,2532,White Swan High School,9,12,Tracey  Smith,tsmith@masd209.org,509.874.2324," Public School, Regular School",High School,White Swan
31025,Marysville School District,1910,Marysville SD Special,PK,13,Ginger  Merkel,ginger_merkel@msd25.org,360.965.0174," Public School, Special Education School",PK-12,Marysville
32416,Riverside School District,1919,Independent Scholar,K ,12,Kristy  Misiaszek,kristy.misiaszek@rsdmail.org,509.464.8478," Alternative School, Public School",K-12,Chattaroy
31201,Snohomish School District,1904,Parent Partnership,K ,12,June  Shirey,june.shirey@sno.wednet.edu,(360) 563-7289," Alternative School, Public School",K-12,Snohomish
33070,Valley School District,1932,Columbia Virtual Academy,K ,8,Dave  Vail,Dave.Vail@cva.org,509.937.2753," Alternative School, Public School",K-12,Valley
8458,Kelso School District,1934,Loowit High School,9,12,Rob L Birdsell,rob.birdsell@kelsosd.org,360.501.1840," Alternative School, Public School",High School,Kelso
18303,Bainbridge Island School District,1935,Eagle Harbor High School,9,12,David  Shockley,dshockley@bisd303.org,206.780.1387," Alternative School, Public School",High School,Bainbridge Island
6114,Evergreen School District (Clark),1926,Home Choice Academy,K ,12,Janet  Locascio,Janet.Locascio@evergreenps.org,360.604.4032," Alternative School, Public School",K-12,Vancouver
21301,Pe Ell School District,1925,Trojan Alternative School,9,12,F. Patrick Meehan,pmeehan@peell.k12.wa.us,(360) 291-3244," Alternative School, Public School",High School,Pe Ell
29100,Burlington-Edison School District,1928,Burlington-Edison Alternative School,9,12,Todd  Setterlund,tsetterlund@be.wednet.edu,360.757.4074," Alternative School, Public School",High School,Burlington
31025,Marysville School District,1927,Legacy High School,9,12,Raymond  Houser,raymond_houser@msd25.org,360.965.3000," Public School, Regular School",High School,Marysville
32801,Educational Service District 101,3507,Structural Alt Confinement School,8,12,Larry  Gardner,,(509) 447-2451," Alternative School, Public School",High School,Spokane
9075,Bridgeport School District,1900,Bridgeport Aurora High School,9,12,Tamra  Jacskon,tjackson@bridgeport.wednet.edu,509.686.8770," Alternative School, Public School",High School,Bridgeport
31002,Everett School District,1907,Port Gardner,K ,12,Kelly  Shepherd,kshepherd@everettsd.org,425.385.5100," Alternative School, Public School",K-12,Everett
17408,Auburn School District,1915,Special Ed School,PK,12,Tami  Petrina,tpetrina@auburn.wednet.edu,253.931.4927," Public School, Special Education School",PK-12,AUBURN
27417,Fife School District,4582,Columbia Junior High School,8,9,Mark  Robinson,mrobinson@fifeschools.com,253.517.1600," Public School, Regular School",High School,Tacoma
17402,Vashon Island School District,1938,Student Link,9,12,Danny  Rock,drock@vashonsd.org,206.463.9171," Alternative School, Public School",High School,Vashon
18303,Bainbridge Island School District,1939,Bainbridge Special Education Services,PK,12,Diane  Leonetti,dleonetti@bisd303.org,206.780.1069," Public School, Special Education School",PK-12,Bainbridge Island
4129,Lake Chelan School District,1940,Chelan School of Innovation,9,12,Crosby  Carpenter,carpenterc@chelanschools.org,509.682.4061," Alternative School, Public School",High School,Chelan
17210,Federal Way School District,1950,Employment Transition Program,9,12,Jane  Al-Tamimi,jaltamim@fwps.org,253.945.4580," Public School, Special Education School",High School,Federal Way
17210,Federal Way School District,1951,Support School,PK,12,Jennifer  Westover,jwestove@fwps.org,253.945.2000," Public School, Regular School",PK-12,Federal Way 
38302,Garfield School District,1962,Garfield at Palouse High School,9,12,Zane  Wells,zwells@garpal.wednet.edu,509.878.1921," Public School, Regular School",High School,Palouse
28149,San Juan Island School District,1963,Griffin Bay School,K ,12,Karen  McVeigh,karimcveigh@sjisd.wednet.edu,360.378.4133," Alternative School, Public School",K-12,Friday Harbor
31015,Edmonds School District,1966,Edmonds Heights K-12,K ,12,Scott F Mauk,mauks@edmonds.wednet.edu,425.431.7841," Alternative School, Public School",K-12,Edmonds
39007,Yakima School District,4020,Yakima Valley Technical Skills Center,9,12,Dennis  Matson,matson.dennis@yakimaschools.org,509.573.5501," Public School, Vocational/technical school",High School,Yakima
17401,Highline School District,3553,Raisbeck Aviation High School,9,12,Therese  Tipton,Therese.Tipton@highlineschools.org,206.631.7200," Alternative School, Public School",High School,Tukwila
6037,Vancouver School District,3556,Vancouver Home Connection,K ,12,Deanna Lynn Hogan,deanna.hogan@vansd.org,360.313.4990," Alternative School, Public School",K-12,VANCOUVER
17401,Highline School District,1972,New Start,9,12,Michael  Sita,michael.sita@highlineschools.org,206.631.7750," Alternative School, Public School",High School,Seattle
17401,Highline School District,1973,Satellite High School,PK,12,Michael  Sita,michael.sita@highlineschools.org,206.631.7630," Public School, Special Education School",PK-12,Seattle
24105,Okanogan School District,1980,Okanogan Alternative High School,9,12,Roy  Johnson,rojohnson@oksd.wednet.edu,509.422.3629," Alternative School, Public School",High School,Omak
37504,Lynden School District,1983,Lynden Academy,K ,12,Ellie   Meenk,meenke@lynden.wednet.edu,360.354.6675," Alternative School, Public School",K-12,Lynden
17903,Muckleshoot Indian Tribe,1986,Muckleshoot Tribal School,K ,12,  ,,," Not Affiliated With District, Tribal School",High School,Auburn
19404,Cle Elum-Roslyn School District,1987,Swiftwater Learning Center,9,12,  ,,," Alternative School, Public School",High School,Cle Elum
29320,Mount Vernon School District,1992,Skagit Academy,K ,12,Chris  Jorgensen,cjorgensen@mvsd320.org,360.428.6206," Alternative School, Public School",K-12,Mount Vernon
32356,Central Valley School District,5003,School to Life,12,12,Kamiel  Youseph,kyouseph@cvsd.org,509.558.5952," Public School, Special Education School",High School,Spokane Valley
31401,Stanwood-Camano School District,5004,Saratoga School,K ,12,MONICA  MCDANIEL,mmcdaniel@stanwood.wednet.edu,360.629.1372," Alternative School, Public School",K-12,Stanwood
21926,Centralia College,3598,Garrett Heyns High School,8,12,Jacquie  Armstrong,jmarmstrong@doc1.wa.gov,360.427.4674, Institution,High School,Shelton
34033,Tumwater School District,5014,New Market High School,10,12,Kris  Blum,kris.blum@newmarketskills.com,360.570.4500," Alternative School, Public School",High School,Tumwater
27320,Sumner School District,4585,Bonney Lake High School,9,12,Cris  Turner,cris_turner@sumnersd.org,253.891.5700," Public School, Regular School",High School,Bonney Lake
1109,Washtucna School District,3075,Washtucna Elementary/High School,PK,12,Vance  Wing,vwing@tucna.wednet.edu,509.646.3211," Public School, Regular School",PK-12,Washtucna
1147,Othello School District,3015,Othello High School,9,12,Alejandro  Vergara,avergara@othelloschools.org,509.488.3351 ext. 2010," Public School, Regular School",High School,Othello
1160,Ritzville School District,2132,Ritzville High School,9,12,Ronanda   Liberty,rliberty@lrschools.org,509.659.1720," Public School, Regular School",High School,Ritzville
2250,Clarkston School District,2299,Charles Francis Adams High School,9,12,Doug  LaMunyan,LamunyanD@csdk12.org,509.758.5591," Public School, Regular School",High School,Clarkston
2250,Clarkston School District,3616,Special Services,PK,12,Wendy  Rogers,rogersw@csdk12.org,509.758.2531," Public School, Special Education School",PK-12,Clarkston
3017,Kennewick School District,2826,Kennewick High School,9,12,Ron  King,ron.king@ksd.org,509.222.7100," Public School, Regular School",High School,KENNEWICK
3017,Kennewick School District,3731,Kamiakin High School,9,12,Chris  Chelin,Chris.Chelin@ksd.org,509.222.6478," Public School, Regular School",High School,KENNEWICK
3017,Kennewick School District,4118,Tri-Tech Skills Center,9,12,Paul  Randall,paul.randall@ksd.org,509.222.7300," Public School, Vocational/technical school",High School,KENNEWICK
3017,Kennewick School District,4484,Southridge High School,9,12,Molly  Hamaker-Teals,molly.hamaker-teals@ksd.org,509.222.6528," Public School, Regular School",High School,KENNEWICK
3052,Kiona-Benton City School District,2904,Kiona-Benton City High School,9,12,Clay  Henry,chenry@kibesd.org,509.588.2142," Public School, Regular School",High School,Benton City
3053,Finley School District,2367,River View High School,9,12,Chris  Davis,chdavis@finleysd.org,509.582.2158," Public School, Regular School",High School,KENNEWICK
3116,Prosser School District,2508,Prosser High School,9,12,Kevin  Lusk,kevin.lusk@prosserschools.org,509.786.1224," Public School, Regular School",High School,Prosser
3400,Richland School District,2001,Special Programs,PK,12,Mandy  Cathey,Mandy.Cathey@rsd.edu,509.967.6050," Public School, Special Education School",PK-12,Richland
3400,Richland School District,3469,Twin Rivers Group Home,9,12,Randy  Kimbler,kimblr@dshs.wa.gov ,(509) 734-7140, Institution,High School,RICHLAND
3400,Richland School District,3511,Richland High School,9,12,Tim  Praino,Tim.Praino@rsd.edu,509.967.6535," Public School, Regular School",High School,Richland
3400,Richland School District,3833,Hanford High School,9,12,Tory  Christensen,Tory.Christensen@rsd.edu,509.967.6500," Public School, Regular School",High School,Richland
4019,Manson School District,2623,Manson High School,9,12,Heather  Ireland,hireland@manson.org,509.687.9585," Public School, Regular School",High School,Manson
4129,Lake Chelan School District,3861,Holden Village Community School,K ,12,Kelly  Kronbauer,kronbauerk@chelanschools.org,509.682.4031," Public School, Regular School",K-12,Chelan
4129,Lake Chelan School District,4260,Chelan High School,9,12,Brad  Wilson,wilsonb@chelanschools.org,509.682.4061," Public School, Regular School",High School,Chelan
4222,CASHMERE SCHOOL DISTRICT,3268,CASHMERE HIGH SCHOOL,9,12,WILLIAM ANTHONY  BOYLE,tboyle@cashmere.wednet.edu,509.782.2914," Public School, Regular School",High School,Cashmere
4228,Cascade School District,3564,Cascade High School,9,12,Elia  Ala'ilima-Daley,edaley@cascadesd.org,509.548.5277," Public School, Regular School",High School,Leavenworth
4246,Wenatchee School District,1612,Skill Source,9,12,KORY  KALAHAR,kalahar.k@wenatcheeschools.org,509.663.3369," Alternative School, Public School",High School,Wenatchee
4246,Wenatchee School District,1613,Westside High School,9,12,Kory  G Kalahar,kalahar.k@wenatcheeschools.org,509.663.7947," Alternative School, Public School",High School,Wenatchee
4246,Wenatchee School District,2134,Wenatchee High School,9,12,Eric J Anderson,anderson.eric@wenatcheeschools.org,509.663.8117," Public School, Regular School",High School,WENATCHEE
5121,Port Angeles School District,1897,Special Education,PK,12,Pamela  Sanford,psanford@portangelesschools.org,360.565.3740," Public School, Special Education School",PK-12,PORT ANGELES
5121,Port Angeles School District,2908,Port Angeles High School,9,12,Jeffrey  Clark,jclark@portangelesschools.org,360.452.9502," Public School, Regular School",High School,PORT ANGELES
18801,Olympic Educational Service District 114,3143,Clallam Co Juvenile Detention,8,12,Awilda  Jesionowski,,(360) 565-2625, Detention Center,High School,PORT ANGELES
5121,Port Angeles School District,4003,Lincoln High School,9,12,Mace  Gratz,mgratz@portangelesschools.org,360.452.9502," Alternative School, Public School",High School,PORT ANGELES
5313,Crescent School District,3473,Crescent School,K ,12,David  Bingham,daveb@crescent.wednet.edu,360.928.3311," Public School, Regular School",K-12,Joyce
5323,Sequim School District,2471,Sequim Senior High,9,12,Shawn  Langston,slangston@sequim.k12.wa.us,360.582.3600," Public School, Regular School",High School,Sequim
5401,Cape Flattery School District,3422,Clallam Bay High & Elementary,K ,12,Kristian  Hanson,krishans@cfsd.wednet.edu,360.963.2142," Public School, Regular School",K-12,Clallam Bay
5402,Quillayute Valley School District,1500,Forks Alternative School,9,12,Cindy  Feasel,cindy.feasel@qvschools.org,360.374.6262 ext.356," Alternative School, Public School",High School,Forks
5402,Quillayute Valley School District,1671,District Run Home School,K ,12,Cindy  Feasel,cindy.feasel@qvschools.org,360.374.6262 ext.356," Alternative School, Public School",K-12,Forks
6037,Vancouver School District,1738,Gate Program,12,12,Jeremy  Berliss,Jeremy.Berliss@vansd.org,360.313.1800," Public School, Special Education School",High School,VANCOUVER
6037,Vancouver School District,2179,Fort Vancouver High School,9,12,Franklin  Scheidel,Curt.Scheidel@vansd.org,360.313.4000," Public School, Regular School",High School,VANCOUVER
6037,Vancouver School District,3081,Hudson's Bay High School,9,12,Valerie Jean Anderson-Seeley,Valerie.Seeley@vansd.org,360.313.4400," Public School, Regular School",High School,VANCOUVER
6037,Vancouver School District,3423,Columbia River High,9,12,Alexander  Geoffery Otoupal,Alex.Otoupal@vansd.org,360.313.3900," Public School, Regular School",High School,VANCOUVER
6037,Vancouver School District,3932,Lewis and Clark High School,9,12,Steven D Lindblom,steve.lindblom@vansd.org,360.313.4350," Public School, Regular School",High School,VANCOUVER
34975,WA State Center for Childhood Deafness and Hearing Loss,4246,Washington State School for the Deaf,PK,12,Bill  Newell,bill.newell@wsd.wa.gov,360.418.4340," Institution, Public School",PK-12,Vancouver
6037,Vancouver School District,4504,Skyview High School,9,12,Andy  Meyer,Andy.Meyer@vansd.org,360.313.4200," Public School, Regular School",High School,VANCOUVER
6098,Hockinson School District,4568,Hockinson High School,9,12,Andrew  Schoonover,andrew.schoonover@hocksd.org,360.448.6450," Public School, Regular School",High School,BRUSH PRAIRIE
6101,La Center School District,4431,La Center High School,9,12,Carol  Patton,carol.patton@lacenterschools.org,360.263.1700," Public School, Regular School",High School,La Center
6112,Washougal School District,3147,Washougal High School,9,12,Sheree Ann Clark,sheree.clark@washougalsd.org,360.954.3100," Public School, Regular School",High School,WASHOUGAL
6114,Evergreen School District (Clark),1646,49th Street Academy,K ,12,Amber  Lindly,Amber.Lindly@evergreenps.org,360.604.6720," Public School, Special Education School",K-12,Vancouver
6114,Evergreen School District (Clark),2724,Evergreen High School,9,12,Danny  Orrantia,Danny.Orrantia@evergreenps.org,360.604.3700," Public School, Regular School",High School,Vancouver
17403,Renton School District,5282,Talley High School,9,12,RONALD D MAHAN,ronald.mahan@rentonschools.us,425.204.2100," Alternative School, Public School",High School,Seattle
17406,Tukwila School District,5284,Gateway,9,12,Kao  Saechao,ksaechao@highline.edu,206.878.3710," Alternative School, Contract School",High School,Des Moines
27400,Clover Park School District,5298,Oakridge Group Home,9,12,Carolyn   Watkins,cwatkins@cloverpark.k12.wa.us,253.756.2522, Institution,High School,Lakewood
32081,Spokane School District,5301,The Community School,9,12,Cindy   McMahon,CindyMc@spokaneschools.org,509.354.6404," Public School, Regular School",High School,Spokane
34979,Washington Military Department,5302,Washington Youth Academy,9,12,  ,,, Institution,High School,Bremerton
34801,Capital Region ESD 113,5305,GRAVITY High School,11,13,Gerald  Grubbs,ggrubbs@esd113.org,360.927.6232," Public School, Re-Engagement School",High School,Tumwater
17937,Lake Washington Institute of Technology,5306,Open Doors at LWIT,11,12,Kim  Infinger,kim.infinger@lwtech.edu,425.739.8274," Public School, Re-Engagement School",High School,Kirkland
27010,Tacoma School District,5307,Fresh Start,9,12,Gregory  Eisnaugle,geisnau@tacoma.k12.wa.us,253.572.6661," Public School, Re-Engagement School",High School,Tacoma
6114,Evergreen School District (Clark),5310,Henrietta Lacks Health and Bioscience High School,9,12,Julie  Tumelty,Julie.Tumelty@evergreenps.org,360.604.6340," Affiliated With District, Public School",High School,Vancouver
8122,Longview School District,5312,Discovery High School,9,12,Michael  Kleiner,mkleiner@longview.k12.wa.us,360.414.2926," Alternative School, Public School",High School,Longview
17406,Tukwila School District,5315,Youthsource,9,12,Forrest   Griek,michael.davie@kingcounty.gov,206.901.7905," Public School, Re-Engagement School",High School,Tukwila
4246,Wenatchee School District,5316,Open Doors  Re-Engagement Wenatchee,9,12,Kory  Kalahar,kalahar.k@wenatcheeschools.org,509.663.7947," Public School, Re-Engagement School",High School,Wenatchee
21302,Chehalis School District,5317,Lewis County Jail,9,12,Tim   Touhey,ttouhey@chehalisschools.org,360.740.3521, Institution,High School,Chehalis
18902,Suquamish Tribal Education Department,5319,Chief Kitsap Academy,K ,12,Fabian  Castilleja,fcastilleja@Suquamish.nsn.us,360-394-8597," Public School, Regular School",K-12,Poulsbo
27003,Puyallup School District,5321,Puyallup Open Doors/POD,9,12,Adriana  Julian,JuliaAC@puyallup.k12.wa.us,253.841.8630," Public School, Re-Engagement School",High School,Puyalllup
13161,Moses Lake School District,5323,Skill Source Learning Center,9,13,Yolanda  Rios,yolanda@skillsource.org,509.766.6300," Public School, Re-Engagement School",High School,Moses Lake 
17405,Bellevue School District,5325,Grad Alliance Program,10,12,Joseph  Kempisty,kempistyj@bsd405.org,425.456.4175," Public School, Re-Engagement School",High School,BELLEVUE
6101,La Center School District,5326,La Center Home School Academy,K ,12,Carol  Patton,carol.patton@lacenterschools.org,360.263.1700," Alternative School, Public School",K-12,La Center
32356,Central Valley School District,5328,CVSD Open Doors Programs,10,13,Kent  Martin,kentmartin@cvsd.org,509.558.5430," Public School, Re-Engagement School",High School,Spokane Valley
31311,Sultan School District,5329,Open Doors Youth Reengagement Sultan,9,12,Sarita  Whitmire,sarita.whitmire@sultan.k12.wa.us,360.793.9810," Public School, Re-Engagement School",High School,Sultan
31002,Everett School District,5330,Everett Reengagement Academy,9,12,Jeanne  Willard,jwillard@everettsd.org,425.385.4078," Public School, Re-Engagement School",High School,Everett
17417,Northshore School District,5331,Northshore Online School,9,12,Donna  Tyo,dtyo@nsd.org,425-408-6605," Public School, Re-Engagement School",High School,Bothell
27404,Eatonville School District,5332,New Beginnings,9,12,  ,,," Public School, Re-Engagement School",High School,Eatonville
39119,Selah School District,5334,SELAH ACADEMY REENGAGEMENT PROGRAM ,9,12,Joe  Coscarart,joecoscarart@selahschools.org,509.698.8453," Public School, Re-Engagement School",High School,Selah
17403,Renton School District,5335,Open Door Youth Reengagement Renton,11,12,Vickie  Damon,vickie.damon@rentonschools.us,425.204.2462," Public School, Re-Engagement School",High School,Renton
13301,Grand Coulee Dam School District,5336,Lake Roosevelt Alternative School,9,12,Mark  Herndon,mherndon@gcdsd.org,509.633.2143," Alternative School, Public School",High School,Coulee Dam
36140,Walla Walla Public Schools,5337,SE AREA TECHNICAL SKILLS CENTER,11,12,Jerry  Maher,jmaher@wwps.org,509.526.2001," Public School, Vocational/technical school",High School,WALLA WALLA
27416,White River School District,5338,White River Reengagement Program,9,12,Michael  Hagadone,mhagadone@whiteriver.wednet.edu,360.829.3817," Public School, Re-Engagement School",High School,Buckley
37501,Bellingham School District,5340,Bellingham Re-Engagement Program,9,12,  ,,," Public School, Re-Engagement School",High School,Bellingham
6037,Vancouver School District,5342,Open Doors Vancouver,9,12,Deanna Lynn Hogan,Deanna.Hogan@vansd.org,360.313.4990," Public School, Re-Engagement School",High School,VANCOUVER
15201,Oak Harbor School District,5343,iGrad Academy,9,12,Ray  Cone,rcone@ohsd.net,360.279.5801," Public School, Re-Engagement School",High School,Oak Harbor
32081,Spokane School District,5344,Open Doors Youth Re-Engagement Spokane,9,12,Larry  Gardner,lgardner@esd101.net,509-477-2451," Public School, Re-Engagement School",High School,Spokane
17210,Federal Way School District,5348,Open Doors Youth Reengagement (1418),9,12,Caitlin  Boline,cboline@fwps.org,253.945.4590," Public School, Re-Engagement School",High School,Federal Way
31332,Granite Falls School District,5349,Granite Falls Open Doors,9,12,Bridgette  McVay,bmcvay@gfalls.wednet.edu,360.691.4407," Public School, Re-Engagement School",High School,Granite Falls
39201,Sunnyside School District,5352,SHS Graduation Alliance,9,12,David  Martinez,david.martinez@sunnysideschools.org,509.837.2601," Contract School, Public School, Re-Engagement School",High School,Sunnyside
39007,Yakima School District,5355,Yakima Open Doors,9,12,Lois  Menard,menard.lois@yakimaschools.org,509.573.5581," Public School, Re-Engagement School",High School,Yakima
32363,West Valley School District (Spokane),5356,re-engagement ,9,12,Jean C Marczynski,jean.marczynski@wvsd.org,509.924.2150," Public School, Re-Engagement School",High School,Spokane
31015,Edmonds School District,5358,Edmonds Career Access Program,9,12,Mark  Madison,madisonm@edmonds.wednet.edu,425-431-7124," Public School, Re-Engagement School",High School,Lynnwood
21401,Centralia School District,5359,Futurus High School,9,12,James RM Bowers,jbowers@centralia.wednet.edu,360-827-6430," Alternative School, Public School",High School,Centralia
6119,Battle Ground School District,5360,Open Doors Battle Ground,9,12,Beth  Beattie,beattie.beth@battlegroundps.org,360.885.5407," Public School, Re-Engagement School",High School,Battle Ground
36250,College Place School District,5362,College Place High School,9,12,Robert A Aguilar,raguilar@cpps.org,509.522.3312," Public School, Regular School",High School,College Place
37501,Bellingham School District,5366,Bellingham Family Partnership Program,K ,12,Katherine  Baehr,kate.baehr@bellinghamschools.org,360.676.6424," Alternative School, Public School",K-12,Bellingham
1147,Othello School District,5367,Desert Oasis High School,9,12,Russell  Kovalenko,rkovalenko@othello.wednet.edu,509-488-4534," Alternative School, Public School",High School,Othello
17401,Highline School District,5370,Highline Open Doors 1418,9,12,Michael  Sita,michael.sita@highlineschools.org,206.631.7750," Public School, Re-Engagement School",High School,Burien
17401,Highline School District,5371,Highline Home School Center,K ,12,Michael  Sita,michael.sita@highlineschools.org,206.631.7665," Alternative School, Public School",K-12,Burien
27403,Bethel School District,5372,Acceleration Academy,9,12,Gin  Hooks,ghooks@accelerationacademy.org,253.267.1045," Public School, Re-Engagement School",High School,Spanaway
37903,Lummi Tribal Agency,5373,Lummi Nation School,K ,12,  ,,," Affiliated With District, Tribal School",K-12,Bellingham
17410,Snoqualmie Valley School District,5374,SVSD OPEN DOORS,9,12,Deborah   O'Brien,deborah.obrien@graduationalliance.com,509.570.4619," Contract School, Re-Engagement School",High School,SNOQUALMIE
17902,Summit Public School: Sierra,5375,Summit Public School: Sierra,9,12,Malia  Burns,mburns@summitps.org,206.999.9196,"Charter,  Public School, Regular School",High School,Seattle
27905,Summit Public School: Olympus,5376,Summit Public School: Olympus,9,12,Greg  Ponikvar,gponikvar@summitps.org,253.271.9146,"Charter,  Public School, Regular School",High School,Seattle
27416,White River School District,5390,White River Homeschool,K ,12,Mike  Hagadone,mhagadone@whiteriver.wednet.edu,360.829.0600," Not Affiliated With District, Public School",K-12,Buckley
18100,Bremerton School District,5395,Career & Academic Re-engagement Center,10,12,Kristen  Morga,kristen.morga@bremertonschools.org,360.473.4700," Affiliated With District, Public School",High School,Bremerton
6801,Educational Service District 112,5398,ESD 112 Open Doors Reengagement,9,12,Kevin  Johnson,kevin.johnson@esd112.org,360.750.7500," Public School, Re-Engagement School",High School,Vancouver
39200,Grandview School District,5399,Step Up to College Open Doors High School,9,12,Henry M Strom,hmstrom@gsd200.org,509.882.8500," Public School, Re-Engagement School",High School,Grandview
8122,Longview School District,5400,Discovery High School-Achieve,9,12,Michael  Kleiner,mkleiner@longview.k12.wa.us,360.414.2926," Public School, Re-Engagement School",High School,Longview
32354,Mead School District,5401,Mead Open Doors,11,12,Ken   Russell,ken.russell@mead354.org,509.465.6040," Contract School, Re-Engagement School",High School,Mead
31025,Marysville School District,5402,Marysville NWESD 189 Youth Engagement,10,12,Jodie  Desbiens,jdesbiens@nwesd.org,425.879.8810," Public School, Re-Engagement School",High School,Marysville
11801,Educational Service District 123,5403,Ugrad Ã¢â‚¬â€œ ESD123 Re-Engagement Program,9,12,  ,,," Public School, Re-Engagement School",High School,Pasco 
17001,Seattle Public Schools,5405,Interagency Open Doors,9,12,Kaaren Linn Andrews,klandrews@seattleschools.org,206.743.3930," Public School, Re-Engagement School",High School,Seattle
17001,Seattle Public Schools,5406,Bridges Transition,PK,12,Sherry  Studley,srstudley@seattleschools.org,206.252.0842," Public School, Special Education School",PK-12,Seattle
27001,Steilacoom Hist. School District,5410,Futures Program,11,12,Gudrun  Sullivan,gusullivan@steilacoom.k12.wa.us,253.983.2238," Public School, Special Education School",High School,Steilacoom
27400,Clover Park School District,5411,CPSD Open Doors Program,9,12,Venetia  Willis-Holbrook,vwillish@cloverpark.k12.wa.us,253.583.5525," Public School, Re-Engagement School",High School,Lakewood
15204,Coupeville School District,5412,Open Den,9,12,Jim  Shank,jshank@coupeville.k12.wa.us,360.678.2404," Public School, Re-Engagement School",High School,Coupeville
16049,Chimacum School District,5397,Open Doors Reengagement Program,9,12,Brian  MacKenzie,brian_mackenzie@csd49.org,360.302.5905," Public School, Re-Engagement School",High School,Chimacum
2250,Clarkston School District,5413,Educational Opportunity Center Reengagement,11,13,Elece A Lockridge,lockridgee@csdk12.org,509-758-4508," Public School, Re-Engagement School",High School,Clarkston
31002,Everett School District,5414,Other Schools,K ,12,Rebecca  Clifford,rclifford@everettsd.org,425.385.5251," Public School, Regular School",K-12,Everett
14068,Elma School District,5416,East Grays Harbor Open Doors,9,12,Julie  Crawford,jcrawford@eagles.edu,360.482.5086," Public School, Re-Engagement School",High School,Elma
32325,Nine Mile Falls School District,5417,Re-Engagement School (Nine Mile Falls),9,12,Willard B Osborn,bosborn@9mile.org,509.340.4200," Public School, Re-Engagement School",High School,Nine Mile Falls
5903,Quileute Tribal School District,5430,Quileute Tribal School,K ,12,Sheri  Crippen,sheri.crippen@quileutetribalschool.org,360.374.5657," Not Affiliated With District, Tribal School",K-12,La Push
