SchoolCode,SchoolName_x,total_cs_courses,yearly_enrolled_in_cs,school_teaches_cs,LEACode,LEAName,SchoolName_y,LowestGrade,HighestGrade,PrincipalName,Email,Phone,OrgCategoryList,GradeCategory,City,SchoolName,STREET,STATE,ZIP,NMCNTY,LAT,LON,NMCBSA,NMCSA
2390,Ridgefield High School,2,3,Teaches Computer Science,6122,Ridgefield School District,Ridgefield High School,9,12,Christen  Palmer,christen.palmer@ridgefieldsd.org,360.619.1323," Public School, Regular School",High School,Ridgefield,Ridgefield High School,2630 S HILLHURST ROAD,WA,98642,Clark County,45.797525,-122.714343,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
2392,Cleveland High School Stem,16,646,Teaches Computer Science,17001,Seattle Public Schools,Cleveland High School Stem,9,12,George  Breland,glbreland@seattleschools.org,206.252.7800," Public School, Regular School",High School,Seattle,Cleveland High School Stem,5511 15 AVE S,WA,98108,King County,47.552311,-122.314016,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2395,Bainbridge High School,6,167,Teaches Computer Science,18303,Bainbridge Island School District,Bainbridge High School,9,12,Duane  Fish,dfish@bisd303.org,206.780.1250," Public School, Regular School",High School,Bainbridge Island,Bainbridge High School,9330 NE High School RD,WA,98110,Kitsap County,47.638149,-122.523006,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
2402,Mead Senior High School,11,292,Teaches Computer Science,32354,Mead School District,Mead Senior High School,9,12,Teresa  Laher,teresa.laher@mead354.org,509.465.7000," Public School, Regular School",High School,Spokane,Mead Senior High School,302 W HASTINGS RD,WA,99218,Spokane County,47.769977,-117.414328,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
2415,Battle Ground High School,4,358,Teaches Computer Science,6119,Battle Ground School District,Battle Ground High School,9,12,Charbonneau D Gourde,gourde.charbonneau@battlegroundps.org,360.885.6560," Public School, Regular School",High School,Battle Ground,Battle Ground High School,300 W MAIN ST,WA,98604,Clark County,45.781855,-122.540032,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
2416,R A Long High School,4,104,Teaches Computer Science,8122,Longview School District,R A Long High School,9,12,Richard J. Reeves,rreeves@longview.k12.wa.us,360.575.7225," Public School, Regular School",High School,Longview,R A Long High School,2903 Nichols Blvd.,WA,98632,Cowlitz County,46.139961,-122.956693,"Longview, WA","Portland-Vancouver-Salem, OR-WA"
2417,Federal Way High School,6,244,Teaches Computer Science,17210,Federal Way School District,Federal Way High School,9,12,Matt  Oberst,moberst@fwps.org,253.945.5400," Public School, Regular School",High School,Federal Way,Federal Way High School,30611 16TH AV S,WA,98003,King County,47.327201,-122.314271,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2419,Vashon Island High School,6,41,Teaches Computer Science,17402,Vashon Island School District,Vashon Island High School,9,12,Andrew  Guss,aguss@vashonsd.org,206.463.8682," Public School, Regular School",High School,Vashon,Vashon Island High School,9600 SW 204TH ST,WA,98070,King County,47.423224,-122.458105,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2425,Clover Park High School,8,374,Teaches Computer Science,27400,Clover Park School District,Clover Park High School,9,12,Tim  Stults,tstults@cloverpark.k12.wa.us,253.583.5500," Public School, Regular School",High School,Lakewood,Clover Park High School,11023 Gravelly LK DR SW,WA,98499,Pierce County,47.157633,-122.519175,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2428,Snohomish High School,4,102,Teaches Computer Science,31201,Snohomish School District,Snohomish High School,9,12,Eric  Cahan,eric.cahan@sno.wednet.edu,360.563.4001," Public School, Regular School",High School,Snohomish,Snohomish High School,1316 Fifth Street,WA,98290,Snohomish County,47.919054,-122.098916,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2467,Anacortes High School,6,183,Teaches Computer Science,29103,Anacortes School District,Anacortes High School,9,12,Jon  Ronngren,jronngren@asd103.org,360.293.2166," Public School, Regular School",High School,Anacortes,Anacortes High School,1600 20th Street,WA,98221,Skagit County,48.507146,-122.622559,"Mount Vernon-Anacortes, WA","Seattle-Tacoma, WA"
2471,Sequim Senior High,4,48,Teaches Computer Science,5323,Sequim School District,Sequim Senior High,9,12,Shawn  Langston,slangston@sequim.k12.wa.us,360.582.3600," Public School, Regular School",High School,Sequim,Sequim Senior High,601 N. Sequim Ave.,WA,98382,Clallam County,48.085192,-123.103814,"Port Angeles, WA",N
2475,Renton Senior High School,3,85,Teaches Computer Science,17403,Renton School District,Renton Senior High School,9,12,Gia  San Martin,giovanna.sanmartin@rentonschools.us,425.204.3400," Public School, Regular School",High School,Renton,Renton Senior High School,400 S 2nd St,WA,98055,King County,47.481747,-122.211858,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2479,Rogers High School,8,98,Teaches Computer Science,32081,Spokane School District,Rogers High School,9,12,Lori  Wyborney,loriwy@spokaneschools.org,509.354.6535," Public School, Regular School",High School,Spokane,Rogers High School,1622 E Wellesley Ave,WA,99207,Spokane County,47.699458,-117.385945,"Spokane-Spokane Valley, WA","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
2488,Ferndale High School,4,90,Teaches Computer Science,37502,Ferndale School District,Ferndale High School,9,12,Jeremy  Vincent,jeremy.vincent@ferndalesd.org,360.383.9243," Public School, Regular School",High School,Ferndale,Ferndale High School,5830 Golden Eagle Drive,WA,98248,Whatcom County,48.851768,-122.592758,"Bellingham, WA",N
2499,Pullman High School,2,25,Teaches Computer Science,38267,Pullman School District,Pullman High School,9,12,Juston  Pollestad,jpollestad@psd267.org,509.332.1551," Public School, Regular School",High School,Pullman,Pullman High School,510 NW Greyhound Way,WA,99163,Whitman County,46.747907,-117.186116,"Pullman, WA","Pullman-Moscow, WA-ID"
2523,Arlington High School,8,140,Teaches Computer Science,31016,Arlington School District,Arlington High School,9,12,Duane  Fish,dfish@asd.wednet.edu,360.618.6302," Public School, Regular School",High School,Arlington,Arlington High School,18821 Crown Ridge Blvd,WA,98223,Snohomish County,48.166233,-122.114976,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2553,Bellingham High School,8,208,Teaches Computer Science,37501,Bellingham School District,Bellingham High School,9,12,Linda  Miller,linda.miller@bellinghamschools.org,360.676.6575," Public School, Regular School",High School,Bellingham,Bellingham High School,2020 Cornwall Ave,WA,98225,Whatcom County,48.75694,-122.474074,"Bellingham, WA",N
2555,Grandview High School,2,50,Teaches Computer Science,39200,Grandview School District,Grandview High School,9,12,Kimberly  Casey,kkcasey@gsd200.org,509.882.8750," Public School, Regular School",High School,Grandview,Grandview High School,1601 W 5th ST,WA,98930,Yakima County,46.252281,-119.923661,"Yakima, WA",N
2580,Granite Falls High School,4,112,Teaches Computer Science,31332,Granite Falls School District,Granite Falls High School,9,12,Kevin  Davis,kdavis@gfalls.wednet.edu,360.691.7713," Public School, Regular School",High School,Granite Falls,Granite Falls High School,1401 100th St NE,WA,98252,Snohomish County,48.08708,-121.962534,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2581,Stanwood High School,2,68,Teaches Computer Science,31401,Stanwood-Camano School District,Stanwood High School,9,12,Christine  Del Pozo,cdelpozo@stanwood.wednet.edu,360.629.1300," Public School, Regular School",High School,Stanwood,Stanwood High School,7400 272ND ST NW,WA,98292,Snohomish County,48.242093,-122.33418,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2588,Colton School,1,1,Teaches Computer Science,38306,Colton School District,Colton School,PK,12,Tim  Casey,tcasey@colton.k12.wa.us,509.229.3386," Public School, Regular School",PK-12,Colton,Colton School,706 Union,WA,99113,Whitman County,46.566441,-117.131186,"Pullman, WA","Pullman-Moscow, WA-ID"
2615,Central Kitsap High School,6,139,Teaches Computer Science,18401,Central Kitsap School District,Central Kitsap High School,9,12,Stephen  Coons,stephenc@cksd.wednet.edu,360.662.2400," Public School, Regular School",High School,Silverdale,Central Kitsap High School,3700 NW ANDERSON HILL RD,WA,98383,Kitsap County,47.651514,-122.699169,"Bremerton-Silverdale, WA","Seattle-Tacoma, WA"
2623,Manson High School,7,47,Teaches Computer Science,4019,Manson School District,Manson High School,9,12,Heather  Ireland,hireland@manson.org,509.687.9585," Public School, Regular School",High School,Manson,Manson High School,1000 TOTEM POLE RD,WA,98831,Chelan County,47.891461,-120.153354,"Wenatchee, WA",N
2633,Yelm High School 12,4,112,Teaches Computer Science,34002,Yelm School District,Yelm High School 12,9,12,Ryan  Akiyama,ryan_akiyama@ycs.wednet.edu,360.458.7777," Public School, Regular School",High School,Yelm,Yelm High School 12,1315 Yelm Ave. W,WA,98597,Thurston County,46.950845,-122.625225,"Olympia-Tumwater, WA","Seattle-Tacoma, WA"
2679,Tonasket High School,2,30,Teaches Computer Science,24404,Tonasket School District,Tonasket High School,9,12,Brian  Ellis,bellis@tonasket.wednet.edu,509.486.2161," Public School, Regular School",High School,Tonasket,Tonasket High School,35HS HIGHWAY 20,WA,98855,Okanogan County,48.701741,-119.434535,N,N
2681,Peninsula High School,22,278,Teaches Computer Science,27401,Peninsula School District,Peninsula High School,9,12,Dave  Goodwin,goodwind@psd401.net,253.530.4400," Public School, Regular School",High School,Gig Harbor,Peninsula High School,14105 Purdy Dr NW,WA,98332,Pierce County,47.386866,-122.623266,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2701,Bellevue High School,12,658,Teaches Computer Science,17405,Bellevue School District,Bellevue High School,9,12,Vic (Victor)  Anderson,andersonv@bsd405.org,425.456.7000," Public School, Regular School",High School,Bellevue,Bellevue High School,10416 Wolverine Way,WA,98004,King County,47.604668,-122.197234,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2724,Evergreen High School,10,184,Teaches Computer Science,6114,Evergreen School District (Clark),Evergreen High School,9,12,Danny  Orrantia,danny.orrantia@evergreenps.org,360.604.3700," Public School, Regular School",High School,Vancouver,Evergreen High School,14300 NE 18th Street,WA,98684,Clark County,45.636787,-122.526123,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Salem, OR-WA"
2728,North Beach Senior High School,2,35,Teaches Computer Science,14064,North Beach School District,North Beach Senior High School,9,12,Cyndy  Valdez,cvaldez@northbeachschools.org,360.289.3888," Public School, Regular School",High School,Ocean Shores,North Beach Senior High School,336 State Route 115,WA,98569,Grays Harbor County,47.019175,-124.15839,"Aberdeen, WA",N
2739,Lake Washington High,8,258,Teaches Computer Science,17414,Lake Washington School District,Lake Washington High,9,12,Christina  Thomas,cthomas@lwsd.org,425.936.1700," Public School, Regular School",High School,Kirkland,Lake Washington High,12033 NE 80TH,WA,98033,King County,47.673218,-122.18038,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2750,Orcas Island High School,2,19,Teaches Computer Science,28137,Orcas Island School District,Orcas Island High School,9,12,Kyle  Freeman,kfreeman@orcas.k12.wa.us,360.376.2287," Public School, Regular School",High School,Eastsound,Orcas Island High School,715 SCHOOL RD,WA,98245,San Juan County,48.699273,-122.901935,N,N
2773,Fife High School,4,44,Teaches Computer Science,27417,Fife School District,Fife High School,10,12,Brandon  Bakke,bbakke@fifeschools.com,253.517.1100," Public School, Regular School",High School,Tacoma,Fife High School,5616 20th St E,WA,98424,Pierce County,47.238365,-122.353199,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2788,Bridgeport High School,4,34,Teaches Computer Science,9075,Bridgeport School District,Bridgeport High School,9,12,Tamra  Jackson,tjackson@bridgeport.wednet.edu,509.686.8770," Public School, Regular School",High School,Bridgeport,Bridgeport High School,1220 Kryger Ave,WA,98813,Douglas County,48.006772,-119.675919,"Wenatchee, WA",N
2795,Auburn Senior High School,6,128,Teaches Computer Science,17408,Auburn School District,Auburn Senior High School,9,12,Jeffry  Gardner,jgardner@auburn.wednet.edu,253.931.4880," Public School, Regular School",High School,Auburn,Auburn Senior High School,711 E MAIN ST,WA,98002,King County,47.30921,-122.221051,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2797,Kent-Meridian High School,4,76,Teaches Computer Science,17415,Kent School District,Kent-Meridian High School,9,12,David  Radford,david.radford@kent.k12.wa.us,253.373.7405," Public School, Regular School",High School,Kent,Kent-Meridian High School,10020 SE 256th ST,WA,98030,King County,47.373691,-122.207298,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
2807,Bethel High School,4,89,Teaches Computer Science,27403,Bethel School District,Bethel High School,9,12,Christy L Rodriquez,crodriguez@bethelsd.org,253.683.7000," Public School, Regular School",High School,Spanaway,Bethel High School,22215 38th Avenue East,WA,98387,Pierce County,47.054484,-122.378127,"Seattle-Tacoma-Bellevue, WA","Seattle-Tacoma, WA"
